#  NACA 2814                                       
#  alpha =   0.0000
#  Mach  =   0.0000
#  Reyn  =   700000
#  Ncrit =  12.0000
#
#    x           cf
   0.517258E-04  0.137186E-02
   0.652751E-05  0.429884E-02
   0.154102E-03  0.706457E-02
   0.509248E-03  0.954063E-02
   0.108182E-02  0.114995E-01
   0.187894E-02  0.128874E-01
   0.290336E-02  0.136870E-01
   0.415660E-02  0.139903E-01
   0.564014E-02  0.139013E-01
   0.735722E-02  0.135350E-01
   0.931400E-02  0.129891E-01
   0.115205E-01  0.123367E-01
   0.139914E-01  0.116335E-01
   0.167467E-01  0.109152E-01
   0.198125E-01  0.102047E-01
   0.232220E-01  0.951821E-02
   0.270161E-01  0.886084E-02
   0.312450E-01  0.823854E-02
   0.359687E-01  0.765122E-02
   0.412578E-01  0.709928E-02
   0.471933E-01  0.658055E-02
   0.538643E-01  0.609482E-02
   0.613632E-01  0.563983E-02
   0.697769E-01  0.521501E-02
   0.791741E-01  0.481926E-02
   0.895906E-01  0.445266E-02
   0.101018      0.411419E-02
   0.113400      0.380340E-02
   0.126644      0.351928E-02
   0.140632      0.326018E-02
   0.155247      0.302384E-02
   0.170377      0.280814E-02
   0.185930      0.261073E-02
   0.201829      0.242961E-02
   0.218015      0.226286E-02
   0.234442      0.210878E-02
   0.251074      0.196582E-02
   0.267883      0.183297E-02
   0.284846      0.170905E-02
   0.301944      0.159315E-02
   0.319163      0.148465E-02
   0.336491      0.138277E-02
   0.353915      0.128702E-02
   0.371427      0.119686E-02
   0.389018      0.111190E-02
   0.406682      0.103175E-02
   0.424412      0.956113E-03
   0.442201      0.884648E-03
   0.460045      0.817177E-03
   0.477938      0.753444E-03
   0.495875      0.693299E-03
   0.513853      0.636644E-03
   0.531868      0.583377E-03
   0.549915      0.533482E-03
   0.567990      0.486992E-03
   0.586091      0.444030E-03
   0.604214      0.404728E-03
   0.622355      0.369368E-03
   0.640510      0.338311E-03
   0.658674      0.312020E-03
   0.676841      0.291119E-03
   0.695002      0.276468E-03
   0.713143      0.269216E-03
   0.731240      0.271138E-03
   0.749252      0.284693E-03
   0.767109      0.314766E-03
   0.784689      0.365090E-03
   0.801795      0.472508E-03
   0.818246      0.506263E-03
   0.834311      0.396422E-03
   0.850136      0.221404E-03
   0.865794      0.442419E-04
   0.881309     -0.748694E-04
   0.896674     -0.121941E-03
   0.911847     -0.130083E-03
   0.926754     -0.522319E-04
   0.941269      0.134558E-03
   0.955217      0.334374E-03
   0.968380      0.385156E-03
   0.980531      0.326729E-03
   0.991499      0.226363E-03
    1.00000      0.143397E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05857       0.00000    
    1.07541       0.00000    
    1.09451       0.00000    
    1.11618       0.00000    
    1.14076       0.00000    
    1.16863       0.00000    
    1.20023       0.00000    
    1.23607       0.00000    
    1.27671       0.00000    
    1.32278       0.00000    
    1.37503       0.00000    
    1.43426       0.00000    
    1.50141       0.00000    
    1.57754       0.00000    
    1.66384       0.00000    
    1.76169       0.00000    
    1.87261       0.00000    
    1.99836       0.00000    

   0.299078E-03  0.166736E-02
   0.766382E-03  0.459245E-02
   0.146544E-02  0.717727E-02
   0.240290E-02  0.919793E-02
   0.358061E-02  0.106248E-01
   0.499817E-02  0.114546E-01
   0.665500E-02  0.118072E-01
   0.855236E-02  0.117872E-01
   0.106948E-01  0.115116E-01
   0.130911E-01  0.110674E-01
   0.157552E-01  0.105242E-01
   0.187069E-01  0.992932E-02
   0.219723E-01  0.931368E-02
   0.255849E-01  0.869928E-02
   0.295867E-01  0.809870E-02
   0.340288E-01  0.751799E-02
   0.389730E-01  0.696321E-02
   0.444923E-01  0.643431E-02
   0.506707E-01  0.593232E-02
   0.576015E-01  0.545727E-02
   0.653819E-01  0.500906E-02
   0.741045E-01  0.458756E-02
   0.838430E-01  0.419266E-02
   0.946370E-01  0.382530E-02
   0.106478      0.348556E-02
   0.119308      0.317372E-02
   0.133025      0.288878E-02
   0.147504      0.262980E-02
   0.162617      0.239458E-02
   0.178248      0.218080E-02
   0.194297      0.198625E-02
   0.210686      0.180841E-02
   0.227354      0.164523E-02
   0.244254      0.149480E-02
   0.261348      0.135544E-02
   0.278610      0.122560E-02
   0.296018      0.110410E-02
   0.313553      0.989714E-03
   0.331201      0.881462E-03
   0.348950      0.778453E-03
   0.366789      0.679848E-03
   0.384711      0.584954E-03
   0.402707      0.493318E-03
   0.420771      0.404630E-03
   0.438896      0.319071E-03
   0.457078      0.237271E-03
   0.475311      0.160528E-03
   0.493590      0.907891E-04
   0.511913      0.303438E-04
   0.530274     -0.188518E-04
   0.548670     -0.557395E-04
   0.567098     -0.806733E-04
   0.585554     -0.950432E-04
   0.604035     -0.100271E-03
   0.622536     -0.958090E-04
   0.641056     -0.735223E-04
   0.659589      0.764164E-04
   0.678129      0.743187E-03
   0.696668      0.176651E-02
   0.715193      0.259737E-02
   0.733682      0.308471E-02
   0.752097      0.330356E-02
   0.770369      0.334159E-02
   0.788379      0.325455E-02
   0.805933      0.302748E-02
   0.822959      0.289544E-02
   0.839720      0.282644E-02
   0.856325      0.278714E-02
   0.872817      0.276915E-02
   0.889196      0.276784E-02
   0.905421      0.278094E-02
   0.921408      0.280754E-02
   0.937012      0.284707E-02
   0.952024      0.289917E-02
   0.966181      0.296311E-02
   0.979220      0.304826E-02
   0.990945      0.312417E-02
    1.00000      0.349395E-02
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05857       0.00000    
    1.07541       0.00000    
    1.09451       0.00000    
    1.11618       0.00000    
    1.14076       0.00000    
    1.16863       0.00000    
    1.20023       0.00000    
    1.23607       0.00000    
    1.27671       0.00000    
    1.32278       0.00000    
    1.37503       0.00000    
    1.43426       0.00000    
    1.50141       0.00000    
    1.57754       0.00000    
    1.66384       0.00000    
    1.76169       0.00000    
    1.87261       0.00000    
    1.99836       0.00000    

