#  NACA 2814                                       
#  alpha =   1.4937
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.691675E-02
   0.517258E-04  0.146614E-01
   0.652751E-05  0.216582E-01
   0.154102E-03  0.282572E-01
   0.509248E-03  0.336181E-01
   0.108182E-02  0.375859E-01
   0.187894E-02  0.399132E-01
   0.290336E-02  0.407655E-01
   0.415660E-02  0.404071E-01
   0.564014E-02  0.391692E-01
   0.735722E-02  0.373582E-01
   0.931400E-02  0.352254E-01
   0.115205E-01  0.329480E-01
   0.139914E-01  0.306509E-01
   0.167467E-01  0.284103E-01
   0.198125E-01  0.262696E-01
   0.232220E-01  0.242543E-01
   0.270161E-01  0.223689E-01
   0.312450E-01  0.206164E-01
   0.359687E-01  0.189900E-01
   0.412578E-01  0.174836E-01
   0.471933E-01  0.160872E-01
   0.538643E-01  0.147947E-01
   0.613632E-01  0.135978E-01
   0.697769E-01  0.124912E-01
   0.791741E-01  0.114699E-01
   0.895906E-01  0.105309E-01
   0.101018      0.967025E-02
   0.113400      0.888432E-02
   0.126644      0.816889E-02
   0.140632      0.751850E-02
   0.155247      0.692668E-02
   0.170377      0.638721E-02
   0.185930      0.589384E-02
   0.201829      0.544108E-02
   0.218015      0.502398E-02
   0.234442      0.463817E-02
   0.251074      0.427984E-02
   0.267883      0.394615E-02
   0.284846      0.363437E-02
   0.301944      0.334226E-02
   0.319163      0.306813E-02
   0.336491      0.281030E-02
   0.353915      0.256754E-02
   0.371427      0.233872E-02
   0.389018      0.212298E-02
   0.406682      0.191957E-02
   0.424412      0.172795E-02
   0.442201      0.154765E-02
   0.460045      0.137842E-02
   0.477938      0.122006E-02
   0.495875      0.107249E-02
   0.513853      0.935763E-03
   0.531868      0.809948E-03
   0.549915      0.695192E-03
   0.567990      0.591670E-03
   0.586091      0.499584E-03
   0.604214      0.419103E-03
   0.622355      0.350462E-03
   0.640510      0.293944E-03
   0.658674      0.249962E-03
   0.676841      0.219222E-03
   0.695002      0.202985E-03
   0.713143      0.203474E-03
   0.731240      0.224789E-03
   0.749252      0.274611E-03
   0.767109      0.369238E-03
   0.784689      0.667415E-03
   0.801795      0.114118E-02
   0.818246      0.160942E-02
   0.834311      0.192461E-02
   0.850136      0.208078E-02
   0.865794      0.207650E-02
   0.881309      0.193521E-02
   0.896674      0.169310E-02
   0.911847      0.139293E-02
   0.926754      0.108219E-02
   0.941269      0.790966E-03
   0.955217      0.538034E-03
   0.968380      0.335887E-03
   0.980531      0.185988E-03
   0.991499      0.827187E-04
    1.00000      0.243373E-04
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.800568E-03
   0.146544E-02  0.799131E-02
   0.240290E-02  0.141207E-01
   0.358061E-02  0.188354E-01
   0.499817E-02  0.221378E-01
   0.665500E-02  0.241562E-01
   0.855236E-02  0.251476E-01
   0.106948E-01  0.253609E-01
   0.130911E-01  0.250201E-01
   0.157552E-01  0.243050E-01
   0.187069E-01  0.233491E-01
   0.219723E-01  0.222465E-01
   0.255849E-01  0.210657E-01
   0.295867E-01  0.198518E-01
   0.340288E-01  0.186328E-01
   0.389730E-01  0.174309E-01
   0.444923E-01  0.162561E-01
   0.506707E-01  0.151167E-01
   0.576015E-01  0.140182E-01
   0.653819E-01  0.129647E-01
   0.741045E-01  0.119598E-01
   0.838430E-01  0.110068E-01
   0.946370E-01  0.101104E-01
   0.106478      0.927371E-02
   0.119308      0.849936E-02
   0.133025      0.778716E-02
   0.147504      0.713584E-02
   0.162617      0.654130E-02
   0.178248      0.599854E-02
   0.194297      0.550232E-02
   0.210686      0.504684E-02
   0.227354      0.462693E-02
   0.244254      0.423778E-02
   0.261348      0.387505E-02
   0.278610      0.353471E-02
   0.296018      0.321337E-02
   0.313553      0.290768E-02
   0.331201      0.261470E-02
   0.348950      0.233173E-02
   0.366789      0.205623E-02
   0.384711      0.178606E-02
   0.402707      0.151968E-02
   0.420771      0.125623E-02
   0.438896      0.996226E-03
   0.457078      0.741798E-03
   0.475311      0.497342E-03
   0.493590      0.269757E-03
   0.511913      0.680312E-04
   0.530274     -0.982744E-04
   0.548670     -0.221542E-03
   0.567098     -0.299623E-03
   0.585554     -0.338133E-03
