#      x          Cp  
     1.00000    0.09830
     0.99330    0.09101
     0.98481    0.08032
     0.97554    0.06660
     0.96556    0.04937
     0.95495    0.02838
     0.94385    0.00375
     0.93236   -0.02407
     0.92058   -0.05431
     0.90858   -0.08485
     0.89643   -0.11550
     0.88416   -0.14555
     0.87178   -0.17421
     0.85932   -0.20093
     0.84676   -0.22538
     0.83409   -0.24756
     0.82128   -0.26771
     0.80824   -0.28577
     0.79482   -0.30313
     0.78097   -0.32105
     0.76684   -0.33589
     0.75256   -0.34048
     0.73816   -0.34568
     0.72370   -0.35130
     0.70920   -0.35724
     0.69467   -0.36346
     0.68014   -0.36994
     0.66559   -0.37667
     0.65105   -0.38367
     0.63651   -0.39092
     0.62198   -0.39844
     0.60745   -0.40623
     0.59294   -0.41429
     0.57844   -0.42262
     0.56396   -0.43123
     0.54949   -0.44011
     0.53504   -0.44925
     0.52062   -0.45865
     0.50621   -0.46830
     0.49183   -0.47818
     0.47748   -0.48829
     0.46315   -0.49860
     0.44886   -0.50911
     0.43460   -0.51979
     0.42037   -0.53062
     0.40619   -0.54159
     0.39205   -0.55268
     0.37795   -0.56386
     0.36390   -0.57511
     0.34991   -0.58642
     0.33598   -0.59776
     0.32210   -0.60909
     0.30830   -0.62040
     0.29457   -0.63166
     0.28092   -0.64284
     0.26736   -0.65390
     0.25390   -0.66480
     0.24056   -0.67550
     0.22733   -0.68597
     0.21425   -0.69614
     0.20133   -0.70597
     0.18859   -0.71539
     0.17607   -0.72432
     0.16380   -0.73268
     0.15183   -0.74037
     0.14020   -0.74729
     0.12897   -0.75333
     0.11821   -0.75835
     0.10798   -0.76223
     0.09832   -0.76484
     0.08929   -0.76606
     0.08090   -0.76577
     0.07317   -0.76388
     0.06608   -0.76028
     0.05961   -0.75486
     0.05371   -0.74753
     0.04834   -0.73815
     0.04345   -0.72656
     0.03899   -0.71254
     0.03492   -0.69587
     0.03120   -0.67626
     0.02780   -0.65337
     0.02468   -0.62678
     0.02182   -0.59602
     0.01919   -0.56053
     0.01677   -0.51972
     0.01455   -0.47289
     0.01252   -0.41927
     0.01066   -0.35809
     0.00896   -0.28858
     0.00742   -0.21008
     0.00603   -0.12215
     0.00478   -0.02466
     0.00369    0.08185
     0.00274    0.19608
     0.00193    0.31572
     0.00127    0.43739
     0.00075    0.55673
     0.00037    0.66886
     0.00013    0.76904
     0.00001    0.85293
     0.00002    0.91892
     0.00015    0.96666
     0.00042    0.99385
     0.00083    0.99930
     0.00138    0.98326
     0.00209    0.94805
     0.00294    0.89706
     0.00395    0.83461
     0.00511    0.76473
     0.00643    0.69115
     0.00789    0.61673
     0.00951    0.54359
     0.01128    0.47317
     0.01322    0.40635
     0.01533    0.34359
     0.01762    0.28507
     0.02010    0.23076
     0.02278    0.18055
     0.02570    0.13422
     0.02886    0.09152
     0.03230    0.05224
     0.03604    0.01614
     0.04012   -0.01699
     0.04458   -0.04734
     0.04946   -0.07506
     0.05480   -0.10027
     0.06067   -0.12306
     0.06711   -0.14348
     0.07416   -0.16159
     0.08186   -0.17739
     0.09024   -0.19091
     0.09929   -0.20216
     0.10901   -0.21121
     0.11935   -0.21815
     0.13025   -0.22308
     0.14166   -0.22616
     0.15351   -0.22755
     0.16573   -0.22743
     0.17828   -0.22597
     0.19109   -0.22334
     0.20412   -0.21968
     0.21735   -0.21512
     0.23075   -0.20978
     0.24429   -0.20375
     0.25796   -0.19712
     0.27173   -0.18997
     0.28561   -0.18235
     0.29957   -0.17432
     0.31362   -0.16592
     0.32773   -0.15720
     0.34192   -0.14818
     0.35616   -0.13889
     0.37046   -0.12938
     0.38481   -0.11966
     0.39922   -0.10978
     0.41366   -0.09979
     0.42815   -0.08974
     0.44267   -0.07971
     0.45723   -0.06980
     0.47182   -0.06011
     0.48645   -0.05079
     0.50110   -0.04195
     0.51578   -0.03371
     0.53048   -0.02612
     0.54521   -0.01917
     0.55995   -0.01276
     0.57472   -0.00695
     0.58950   -0.00179
     0.60430    0.00275
     0.61911    0.00671
     0.63394    0.01014
     0.64877    0.01309
     0.66361    0.01563
     0.67845    0.01782
     0.69329    0.01970
     0.70812    0.02131
     0.72293    0.02270
     0.73770    0.02389
     0.75240    0.02491
     0.76699    0.02578
     0.78141    0.02654
     0.79553    0.02718
     0.80929    0.02776
     0.82281    0.02843
     0.83619    0.02919
     0.84947    0.03003
     0.86269    0.03098
     0.87585    0.03202
     0.88893    0.03317
     0.90192    0.03444
     0.91477    0.03582
     0.92742    0.03732
     0.93978    0.03895
     0.95173    0.04068
     0.96314    0.04251
     0.97387    0.04442
     0.98380    0.04640
     0.99286    0.07317
     1.00000    0.09830
