#      x          Cp  
     1.00000    0.14447
     0.99330    0.13287
     0.98481    0.11582
     0.97554    0.09439
     0.96556    0.06839
     0.95495    0.03805
     0.94385    0.00414
     0.93236   -0.03221
     0.92058   -0.06963
     0.90858   -0.10684
     0.89643   -0.14135
     0.88416   -0.17352
     0.87178   -0.20269
     0.85932   -0.22823
     0.84676   -0.24955
     0.83409   -0.26617
     0.82128   -0.27782
     0.80824   -0.28196
     0.79482   -0.28067
     0.78097   -0.28002
     0.76684   -0.28406
     0.75256   -0.28956
     0.73816   -0.29672
     0.72370   -0.30550
     0.70920   -0.31594
     0.69467   -0.32825
     0.68014   -0.34252
     0.66559   -0.35864
     0.65105   -0.37612
     0.63651   -0.39411
     0.62198   -0.41157
     0.60745   -0.42764
     0.59294   -0.43771
     0.57844   -0.44384
     0.56396   -0.45071
     0.54949   -0.45813
     0.53504   -0.46599
     0.52062   -0.47424
     0.50621   -0.48284
     0.49183   -0.49174
     0.47748   -0.50092
     0.46315   -0.51037
     0.44886   -0.52005
     0.43460   -0.52995
     0.42037   -0.54004
     0.40619   -0.55031
     0.39205   -0.56073
     0.37795   -0.57127
     0.36390   -0.58192
     0.34991   -0.59265
     0.33598   -0.60343
     0.32210   -0.61424
     0.30830   -0.62505
     0.29457   -0.63581
     0.28092   -0.64651
     0.26736   -0.65711
     0.25390   -0.66756
     0.24056   -0.67782
     0.22733   -0.68785
     0.21425   -0.69759
     0.20133   -0.70699
     0.18859   -0.71597
     0.17607   -0.72447
     0.16380   -0.73239
     0.15183   -0.73964
     0.14020   -0.74612
     0.12897   -0.75169
     0.11821   -0.75625
     0.10798   -0.75966
     0.09832   -0.76179
     0.08929   -0.76252
     0.08090   -0.76174
     0.07317   -0.75936
     0.06608   -0.75527
     0.05961   -0.74936
     0.05371   -0.74154
     0.04834   -0.73166
     0.04345   -0.71957
     0.03899   -0.70507
     0.03492   -0.68791
     0.03120   -0.66781
     0.02780   -0.64443
     0.02468   -0.61737
     0.02182   -0.58613
     0.01919   -0.55018
     0.01677   -0.50892
     0.01455   -0.46166
     0.01252   -0.40765
     0.01066   -0.34611
     0.00896   -0.27631
     0.00742   -0.19759
     0.00603   -0.10953
     0.00478   -0.01205
     0.00369    0.09431
     0.00274    0.20821
     0.00193    0.32731
     0.00127    0.44824
     0.00075    0.56661
     0.00037    0.67757
     0.00013    0.77641
     0.00001    0.85886
     0.00002    0.92333
     0.00015    0.96947
     0.00042    0.99502
     0.00083    0.99883
     0.00138    0.98123
     0.00209    0.94461
     0.00294    0.89239
     0.00395    0.82891
     0.00511    0.75820
     0.00643    0.68398
     0.00789    0.60909
     0.00951    0.53564
     0.01128    0.46503
     0.01322    0.39813
     0.01533    0.33538
     0.01762    0.27692
     0.02010    0.22274
     0.02278    0.17269
     0.02570    0.12657
     0.02886    0.08411
     0.03230    0.04508
     0.03604    0.00926
     0.04012   -0.02358
     0.04458   -0.05363
     0.04946   -0.08103
     0.05480   -0.10591
     0.06067   -0.12837
     0.06711   -0.14846
     0.07416   -0.16621
     0.08186   -0.18167
     0.09024   -0.19484
     0.09929   -0.20574
     0.10901   -0.21445
     0.11935   -0.22104
     0.13025   -0.22564
     0.14166   -0.22839
     0.15351   -0.22946
     0.16573   -0.22904
     0.17828   -0.22728
     0.19109   -0.22435
     0.20412   -0.22040
     0.21735   -0.21556
     0.23075   -0.20994
     0.24429   -0.20363
     0.25796   -0.19673
     0.27173   -0.18931
     0.28561   -0.18142
     0.29957   -0.17311
     0.31362   -0.16443
     0.32773   -0.15542
     0.34192   -0.14612
     0.35616   -0.13655
     0.37046   -0.12674
     0.38481   -0.11674
     0.39922   -0.10659
     0.41366   -0.09635
     0.42815   -0.08609
     0.44267   -0.07590
     0.45723   -0.06590
     0.47182   -0.05623
     0.48645   -0.04702
     0.50110   -0.03840
     0.51578   -0.03044
     0.53048   -0.02316
     0.54521   -0.01648
     0.55995   -0.01038
     0.57472   -0.00495
     0.58950   -0.00018
     0.60430    0.00397
     0.61911    0.00756
     0.63394    0.01065
     0.64877    0.01330
     0.66361    0.01558
     0.67845    0.01753
     0.69329    0.01921
     0.70812    0.02064
     0.72293    0.02188
     0.73770    0.02293
     0.75240    0.02384
     0.76699    0.02462
     0.78141    0.02530
     0.79553    0.02587
     0.80929    0.02640
     0.82281    0.02702
     0.83619    0.02773
     0.84947    0.02854
     0.86269    0.02944
     0.87585    0.03045
     0.88893    0.03156
     0.90192    0.03280
     0.91477    0.03415
     0.92742    0.03564
     0.93978    0.03725
     0.95173    0.03899
     0.96314    0.04086
     0.97387    0.05505
     0.98380    0.08929
     0.99286    0.11982
     1.00000    0.14447
