#      x          Cp  
     1.00000    0.12230
     0.99330    0.11329
     0.98481    0.09996
     0.97554    0.08292
     0.96556    0.06178
     0.95495    0.03648
     0.94385    0.00740
     0.93236   -0.02464
     0.92058   -0.05855
     0.90858   -0.09158
     0.89643   -0.12403
     0.88416   -0.15488
     0.87178   -0.18325
     0.85932   -0.20857
     0.84676   -0.23042
     0.83409   -0.24871
     0.82128   -0.26375
     0.80824   -0.27518
     0.79482   -0.28559
     0.78097   -0.29858
     0.76684   -0.31499
     0.75256   -0.33237
     0.73816   -0.34955
     0.72370   -0.36058
     0.70920   -0.36554
     0.69467   -0.37113
     0.68014   -0.37717
     0.66559   -0.38357
     0.65105   -0.39030
     0.63651   -0.39733
     0.62198   -0.40465
     0.60745   -0.41224
     0.59294   -0.42012
     0.57844   -0.42826
     0.56396   -0.43667
     0.54949   -0.44535
     0.53504   -0.45428
     0.52062   -0.46347
     0.50621   -0.47289
     0.49183   -0.48255
     0.47748   -0.49242
     0.46315   -0.50250
     0.44886   -0.51276
     0.43460   -0.52320
     0.42037   -0.53380
     0.40619   -0.54453
     0.39205   -0.55538
     0.37795   -0.56634
     0.36390   -0.57736
     0.34991   -0.58845
     0.33598   -0.59956
     0.32210   -0.61068
     0.30830   -0.62177
     0.29457   -0.63281
     0.28092   -0.64377
     0.26736   -0.65462
     0.25390   -0.66530
     0.24056   -0.67579
     0.22733   -0.68604
     0.21425   -0.69599
     0.20133   -0.70560
     0.18859   -0.71478
     0.17607   -0.72348
     0.16380   -0.73159
     0.15183   -0.73904
     0.14020   -0.74570
     0.12897   -0.75147
     0.11821   -0.75622
     0.10798   -0.75982
     0.09832   -0.76213
     0.08929   -0.76305
     0.08090   -0.76246
     0.07317   -0.76026
     0.06608   -0.75635
     0.05961   -0.75063
     0.05371   -0.74298
     0.04834   -0.73328
     0.04345   -0.72137
     0.03899   -0.70704
     0.03492   -0.69005
     0.03120   -0.67013
     0.02780   -0.64692
     0.02468   -0.62002
     0.02182   -0.58895
     0.01919   -0.55316
     0.01677   -0.51206
     0.01455   -0.46495
     0.01252   -0.41108
     0.01066   -0.34967
     0.00896   -0.27997
     0.00742   -0.20134
     0.00603   -0.11333
     0.00478   -0.01587
     0.00369    0.09053
     0.00274    0.20452
     0.00193    0.32377
     0.00127    0.44492
     0.00075    0.56358
     0.00037    0.67489
     0.00013    0.77414
     0.00001    0.85704
     0.00002    0.92198
     0.00015    0.96861
     0.00042    0.99467
     0.00083    0.99899
     0.00138    0.98187
     0.00209    0.94569
     0.00294    0.89385
     0.00395    0.83068
     0.00511    0.76023
     0.00643    0.68621
     0.00789    0.61146
     0.00951    0.53809
     0.01128    0.46754
     0.01322    0.40065
     0.01533    0.33789
     0.01762    0.27940
     0.02010    0.22518
     0.02278    0.17507
     0.02570    0.12887
     0.02886    0.08633
     0.03230    0.04721
     0.03604    0.01129
     0.04012   -0.02166
     0.04458   -0.05181
     0.04946   -0.07932
     0.05480   -0.10432
     0.06067   -0.12689
     0.06711   -0.14710
     0.07416   -0.16498
     0.08186   -0.18056
     0.09024   -0.19385
     0.09929   -0.20489
     0.10901   -0.21372
     0.11935   -0.22044
     0.13025   -0.22516
     0.14166   -0.22803
     0.15351   -0.22923
     0.16573   -0.22892
     0.17828   -0.22728
     0.19109   -0.22447
     0.20412   -0.22063
     0.21735   -0.21590
     0.23075   -0.21039
     0.24429   -0.20420
     0.25796   -0.19742
     0.27173   -0.19010
     0.28561   -0.18233
     0.29957   -0.17414
     0.31362   -0.16559
     0.32773   -0.15670
     0.34192   -0.14753
     0.35616   -0.13808
     0.37046   -0.12841
     0.38481   -0.11854
     0.39922   -0.10852
     0.41366   -0.09839
     0.42815   -0.08822
     0.44267   -0.07811
     0.45723   -0.06814
     0.47182   -0.05846
     0.48645   -0.04919
     0.50110   -0.04045
     0.51578   -0.03235
     0.53048   -0.02492
     0.54521   -0.01812
     0.55995   -0.01186
     0.57472   -0.00624
     0.58950   -0.00128
     0.60430    0.00306
     0.61911    0.00683
     0.63394    0.01008
     0.64877    0.01288
     0.66361    0.01528
     0.67845    0.01735
     0.69329    0.01912
     0.70812    0.02065
     0.72293    0.02196
     0.73770    0.02308
     0.75240    0.02405
     0.76699    0.02487
     0.78141    0.02560
     0.79553    0.02620
     0.80929    0.02676
     0.82281    0.02741
     0.83619    0.02814
     0.84947    0.02897
     0.86269    0.02989
     0.87585    0.03092
     0.88893    0.03206
     0.90192    0.03332
     0.91477    0.03469
     0.92742    0.03619
     0.93978    0.03781
     0.95173    0.03956
     0.96314    0.04141
     0.97387    0.04337
     0.98380    0.06644
     0.99286    0.09745
     1.00000    0.12230
