#      x          Cp  
     1.00000    0.05492
     0.99330    0.04790
     0.98481    0.03865
     0.97554    0.02790
     0.96556    0.01524
     0.95495   -0.00028
     0.94385   -0.01969
     0.93236   -0.04214
     0.92058   -0.06739
     0.90858   -0.09516
     0.89643   -0.12460
     0.88416   -0.15569
     0.87178   -0.18826
     0.85932   -0.22200
     0.84676   -0.25661
     0.83409   -0.29233
     0.82128   -0.30549
     0.80824   -0.30974
     0.79482   -0.31419
     0.78097   -0.31886
     0.76684   -0.32371
     0.75256   -0.32873
     0.73816   -0.33393
     0.72370   -0.33934
     0.70920   -0.34497
     0.69467   -0.35082
     0.68014   -0.35691
     0.66559   -0.36326
     0.65105   -0.36988
     0.63651   -0.37680
     0.62198   -0.38405
     0.60745   -0.39163
     0.59294   -0.39958
     0.57844   -0.40788
     0.56396   -0.41656
     0.54949   -0.42560
     0.53504   -0.43499
     0.52062   -0.44472
     0.50621   -0.45477
     0.49183   -0.46512
     0.47748   -0.47573
     0.46315   -0.48659
     0.44886   -0.49766
     0.43460   -0.50892
     0.42037   -0.52034
     0.40619   -0.53190
     0.39205   -0.54357
     0.37795   -0.55532
     0.36390   -0.56713
     0.34991   -0.57898
     0.33598   -0.59085
     0.32210   -0.60270
     0.30830   -0.61451
     0.29457   -0.62626
     0.28092   -0.63791
     0.26736   -0.64944
     0.25390   -0.66079
     0.24056   -0.67195
     0.22733   -0.68286
     0.21425   -0.69348
     0.20133   -0.70375
     0.18859   -0.71361
     0.17607   -0.72298
     0.16380   -0.73179
     0.15183   -0.73993
     0.14020   -0.74732
     0.12897   -0.75382
     0.11821   -0.75931
     0.10798   -0.76367
     0.09832   -0.76677
     0.08929   -0.76847
     0.08090   -0.76868
     0.07317   -0.76729
     0.06608   -0.76418
     0.05961   -0.75927
     0.05371   -0.75244
     0.04834   -0.74355
     0.04345   -0.73245
     0.03899   -0.71893
     0.03492   -0.70276
     0.03120   -0.68364
     0.02780   -0.66124
     0.02468   -0.63514
     0.02182   -0.60486
     0.01919   -0.56985
     0.01677   -0.52950
     0.01455   -0.48311
     0.01252   -0.42991
     0.01066   -0.36911
     0.00896   -0.29993
     0.00742   -0.22169
     0.00603   -0.13392
     0.00478   -0.03649
     0.00369    0.07012
     0.00274    0.18461
     0.00193    0.30470
     0.00127    0.42704
     0.00075    0.54726
     0.00037    0.66047
     0.00013    0.76189
     0.00001    0.84714
     0.00002    0.91458
     0.00015    0.96384
     0.00042    0.99261
     0.00083    0.99964
     0.00138    0.98511
     0.00209    0.95128
     0.00294    0.90152
     0.00395    0.84009
     0.00511    0.77105
     0.00643    0.69812
     0.00789    0.62418
     0.00951    0.55137
     0.01128    0.48117
     0.01322    0.41446
     0.01533    0.35173
     0.01762    0.29316
     0.02010    0.23876
     0.02278    0.18840
     0.02570    0.14189
     0.02886    0.09899
     0.03230    0.05948
     0.03604    0.02312
     0.04012   -0.01028
     0.04458   -0.04091
     0.04946   -0.06892
     0.05480   -0.09443
     0.06067   -0.11754
     0.06711   -0.13828
     0.07416   -0.15671
     0.08186   -0.17284
     0.09024   -0.18669
     0.09929   -0.19828
     0.10901   -0.20765
     0.11935   -0.21491
     0.13025   -0.22016
     0.14166   -0.22354
     0.15351   -0.22524
     0.16573   -0.22541
     0.17828   -0.22423
     0.19109   -0.22188
     0.20412   -0.21848
     0.21735   -0.21418
     0.23075   -0.20909
     0.24429   -0.20332
     0.25796   -0.19694
     0.27173   -0.19003
     0.28561   -0.18266
     0.29957   -0.17487
     0.31362   -0.16672
     0.32773   -0.15824
     0.34192   -0.14947
     0.35616   -0.14044
     0.37046   -0.13117
     0.38481   -0.12170
     0.39922   -0.11206
     0.41366   -0.10229
     0.42815   -0.09244
     0.44267   -0.08257
     0.45723   -0.07276
     0.47182   -0.06311
     0.48645   -0.05375
     0.50110   -0.04478
     0.51578   -0.03633
     0.53048   -0.02849
     0.54521   -0.02128
     0.55995   -0.01467
     0.57472   -0.00857
     0.58950   -0.00308
     0.60430    0.00178
     0.61911    0.00605
     0.63394    0.00977
     0.64877    0.01299
     0.66361    0.01577
     0.67845    0.01816
     0.69329    0.02022
     0.70812    0.02199
     0.72293    0.02351
     0.73770    0.02482
     0.75240    0.02594
     0.76699    0.02690
     0.78141    0.02773
     0.79553    0.02841
     0.80929    0.02905
     0.82281    0.02976
     0.83619    0.03055
     0.84947    0.03143
     0.86269    0.03240
     0.87585    0.03347
     0.88893    0.03465
     0.90192    0.03593
     0.91477    0.03733
     0.92742    0.03885
     0.93978    0.04048
     0.95173    0.04220
     0.96314    0.04401
     0.97387    0.04588
     0.98380    0.04777
     0.99286    0.04963
     1.00000    0.05492
