#  NACA 2814                                       
#  alpha =   1.4183
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.656790E-02
   0.517258E-04  0.143121E-01
   0.652751E-05  0.213163E-01
   0.154102E-03  0.279322E-01
   0.509248E-03  0.333177E-01
   0.108182E-02  0.373204E-01
   0.187894E-02  0.396854E-01
   0.290336E-02  0.405772E-01
   0.415660E-02  0.402562E-01
   0.564014E-02  0.390523E-01
   0.735722E-02  0.372711E-01
   0.931400E-02  0.351635E-01
   0.115205E-01  0.329072E-01
   0.139914E-01  0.306274E-01
   0.167467E-01  0.284008E-01
   0.198125E-01  0.262716E-01
   0.232220E-01  0.242654E-01
   0.270161E-01  0.223873E-01
   0.312450E-01  0.206404E-01
   0.359687E-01  0.190186E-01
   0.412578E-01  0.175156E-01
   0.471933E-01  0.161219E-01
   0.538643E-01  0.148314E-01
   0.613632E-01  0.136360E-01
   0.697769E-01  0.125305E-01
   0.791741E-01  0.115100E-01
   0.895906E-01  0.105716E-01
   0.101018      0.971138E-02
   0.113400      0.892589E-02
   0.126644      0.821092E-02
   0.140632      0.756107E-02
   0.155247      0.696991E-02
   0.170377      0.643125E-02
   0.185930      0.593885E-02
   0.201829      0.548728E-02
   0.218015      0.507158E-02
   0.234442      0.468741E-02
   0.251074      0.433101E-02
   0.267883      0.399955E-02
   0.284846      0.369034E-02
   0.301944      0.340117E-02
   0.319163      0.313039E-02
   0.336491      0.287638E-02
   0.353915      0.263793E-02
   0.371427      0.241397E-02
   0.389018      0.220366E-02
   0.406682      0.200631E-02
   0.424412      0.182140E-02
   0.442201      0.164848E-02
   0.460045      0.148733E-02
   0.477938      0.133772E-02
   0.495875      0.119960E-02
   0.513853      0.107303E-02
   0.531868      0.958071E-03
   0.549915      0.854937E-03
   0.567990      0.763909E-03
   0.586091      0.685405E-03
   0.604214      0.619957E-03
   0.622355      0.568417E-03
   0.640510      0.532064E-03
   0.658674      0.512935E-03
   0.676841      0.514470E-03
   0.695002      0.543036E-03
   0.713143      0.611318E-03
   0.731240      0.835670E-03
   0.749252      0.123907E-02
   0.767109      0.176105E-02
   0.784689      0.236365E-02
   0.801795      0.305224E-02
   0.818246      0.359170E-02
   0.834311      0.383215E-02
   0.850136      0.384122E-02
   0.865794      0.365751E-02
   0.881309      0.332835E-02
   0.896674      0.290017E-02
   0.911847      0.241944E-02
   0.926754      0.193663E-02
   0.941269      0.148786E-02
   0.955217      0.109368E-02
   0.968380      0.770419E-03
   0.980531      0.521175E-03
   0.991499      0.339923E-03
    1.00000      0.229735E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.114156E-02
   0.146544E-02  0.830137E-02
   0.240290E-02  0.144133E-01
   0.358061E-02  0.190778E-01
   0.499817E-02  0.223537E-01
   0.665500E-02  0.243311E-01
   0.855236E-02  0.252921E-01
   0.106948E-01  0.254766E-01
   0.130911E-01  0.251113E-01
   0.157552E-01  0.243755E-01
   0.187069E-01  0.234023E-01
   0.219723E-01  0.222853E-01
   0.255849E-01  0.210925E-01
   0.295867E-01  0.198687E-01
   0.340288E-01  0.186414E-01
   0.389730E-01  0.174327E-01
   0.444923E-01  0.162523E-01
   0.506707E-01  0.151083E-01
   0.576015E-01  0.140061E-01
   0.653819E-01  0.129495E-01
   0.741045E-01  0.119421E-01
   0.838430E-01  0.109871E-01
   0.946370E-01  0.100891E-01
   0.106478      0.925097E-02
   0.119308      0.847549E-02
   0.133025      0.776231E-02
   0.147504      0.711009E-02
   0.162617      0.651469E-02
   0.178248      0.597105E-02
   0.194297      0.547391E-02
   0.210686      0.501741E-02
   0.227354      0.459637E-02
   0.244254      0.420592E-02
   0.261348      0.384170E-02
   0.278610      0.349962E-02
   0.296018      0.317624E-02
   0.313553      0.286818E-02
   0.331201      0.257245E-02
   0.348950      0.228630E-02
   0.366789      0.200720E-02
   0.384711      0.173307E-02
   0.402707      0.146250E-02
   0.420771      0.119492E-02
   0.438896      0.931312E-03
   0.457078      0.674530E-03
   0.475311      0.429896E-03
   0.493590      0.205306E-03
   0.511913      0.104831E-04
   0.530274     -0.145008E-03
   0.548670     -0.254740E-03
   0.567098     -0.319292E-03
   0.585554     -0.346438E-03
   0.604035     -0.348620E-03
   0.622536     -0.339941E-03
   0.641056     -0.325604E-03
   0.659589     -0.312562E-03
   0.678129     -0.301841E-03
   0.696668     -0.293172E-03
   0.715193     -0.286147E-03
   0.733682     -0.280415E-03
   0.752097     -0.275705E-03
   0.770369     -0.271813E-03
   0.788379     -0.268588E-03
   0.805933     -0.265916E-03
   0.822959     -0.263600E-03
   0.839720     -0.261409E-03
   0.856325     -0.259239E-03
   0.872817     -0.257040E-03
   0.889196     -0.254801E-03
   0.905421     -0.252545E-03
   0.921408     -0.250328E-03
   0.937012     -0.248248E-03
   0.952024     -0.246460E-03
   0.966181     -0.245191E-03
   0.979220     -0.207844E-03
   0.990945     -0.196848E-03
    1.00000     -0.175926E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
