#      x          Cp  
     1.00000    0.14259
     0.99330    0.13134
     0.98481    0.11478
     0.97554    0.09390
     0.96556    0.06849
     0.95495    0.03873
     0.94385    0.00535
     0.93236   -0.03054
     0.92058   -0.06761
     0.90858   -0.10401
     0.89643   -0.13812
     0.88416   -0.17005
     0.87178   -0.19895
     0.85932   -0.22419
     0.84676   -0.24519
     0.83409   -0.26151
     0.82128   -0.27296
     0.80824   -0.27737
     0.79482   -0.27706
     0.78097   -0.27793
     0.76684   -0.28367
     0.75256   -0.29158
     0.73816   -0.30194
     0.72370   -0.31471
     0.70920   -0.32968
     0.69467   -0.34647
     0.68014   -0.36429
     0.66559   -0.38214
     0.65105   -0.39900
     0.63651   -0.41184
     0.62198   -0.41740
     0.60745   -0.42373
     0.59294   -0.43060
     0.57844   -0.43792
     0.56396   -0.44563
     0.54949   -0.45368
     0.53504   -0.46204
     0.52062   -0.47071
     0.50621   -0.47965
     0.49183   -0.48885
     0.47748   -0.49830
     0.46315   -0.50797
     0.44886   -0.51786
     0.43460   -0.52794
     0.42037   -0.53820
     0.40619   -0.54861
     0.39205   -0.55916
     0.37795   -0.56982
     0.36390   -0.58058
     0.34991   -0.59140
     0.33598   -0.60227
     0.32210   -0.61315
     0.30830   -0.62402
     0.29457   -0.63485
     0.28092   -0.64560
     0.26736   -0.65624
     0.25390   -0.66673
     0.24056   -0.67703
     0.22733   -0.68710
     0.21425   -0.69687
     0.20133   -0.70629
     0.18859   -0.71529
     0.17607   -0.72381
     0.16380   -0.73175
     0.15183   -0.73901
     0.14020   -0.74549
     0.12897   -0.75108
     0.11821   -0.75564
     0.10798   -0.75905
     0.09832   -0.76118
     0.08929   -0.76190
     0.08090   -0.76112
     0.07317   -0.75873
     0.06608   -0.75463
     0.05961   -0.74871
     0.05371   -0.74087
     0.04834   -0.73099
     0.04345   -0.71889
     0.03899   -0.70436
     0.03492   -0.68719
     0.03120   -0.66708
     0.02780   -0.64368
     0.02468   -0.61660
     0.02182   -0.58535
     0.01919   -0.54939
     0.01677   -0.50811
     0.01455   -0.46084
     0.01252   -0.40681
     0.01066   -0.34527
     0.00896   -0.27546
     0.00742   -0.19674
     0.00603   -0.10868
     0.00478   -0.01121
     0.00369    0.09513
     0.00274    0.20900
     0.00193    0.32806
     0.00127    0.44892
     0.00075    0.56723
     0.00037    0.67811
     0.00013    0.77686
     0.00001    0.85922
     0.00002    0.92360
     0.00015    0.96964
     0.00042    0.99509
     0.00083    0.99880
     0.00138    0.98111
     0.00209    0.94440
     0.00294    0.89210
     0.00395    0.82855
     0.00511    0.75780
     0.00643    0.68354
     0.00789    0.60862
     0.00951    0.53514
     0.01128    0.46452
     0.01322    0.39761
     0.01533    0.33485
     0.01762    0.27639
     0.02010    0.22221
     0.02278    0.17217
     0.02570    0.12605
     0.02886    0.08360
     0.03230    0.04459
     0.03604    0.00877
     0.04012   -0.02406
     0.04458   -0.05409
     0.04946   -0.08149
     0.05480   -0.10636
     0.06067   -0.12880
     0.06711   -0.14888
     0.07416   -0.16663
     0.08186   -0.18207
     0.09024   -0.19523
     0.09929   -0.20613
     0.10901   -0.21482
     0.11935   -0.22141
     0.13025   -0.22600
     0.14166   -0.22874
     0.15351   -0.22981
     0.16573   -0.22938
     0.17828   -0.22762
     0.19109   -0.22469
     0.20412   -0.22074
     0.21735   -0.21590
     0.23075   -0.21028
     0.24429   -0.20398
     0.25796   -0.19708
     0.27173   -0.18965
     0.28561   -0.18177
     0.29957   -0.17346
     0.31362   -0.16479
     0.32773   -0.15579
     0.34192   -0.14649
     0.35616   -0.13693
     0.37046   -0.12714
     0.38481   -0.11715
     0.39922   -0.10701
     0.41366   -0.09678
     0.42815   -0.08653
     0.44267   -0.07635
     0.45723   -0.06635
     0.47182   -0.05668
     0.48645   -0.04746
     0.50110   -0.03882
     0.51578   -0.03085
     0.53048   -0.02355
     0.54521   -0.01686
     0.55995   -0.01074
     0.57472   -0.00529
     0.58950   -0.00050
     0.60430    0.00367
     0.61911    0.00728
     0.63394    0.01039
     0.64877    0.01307
     0.66361    0.01536
     0.67845    0.01733
     0.69329    0.01901
     0.70812    0.02046
     0.72293    0.02171
     0.73770    0.02277
     0.75240    0.02369
     0.76699    0.02448
     0.78141    0.02517
     0.79553    0.02574
     0.80929    0.02628
     0.82281    0.02690
     0.83619    0.02762
     0.84947    0.02843
     0.86269    0.02934
     0.87585    0.03035
     0.88893    0.03147
     0.90192    0.03271
     0.91477    0.03407
     0.92742    0.03556
     0.93978    0.03718
     0.95173    0.03893
     0.96314    0.04080
     0.97387    0.05248
     0.98380    0.08700
     0.99286    0.11776
     1.00000    0.14259
