#      x          Cp  
     1.00000    0.11807
     0.99330    0.10941
     0.98481    0.09661
     0.97554    0.08023
     0.96556    0.05984
     0.95495    0.03535
     0.94385    0.00709
     0.93236   -0.02418
     0.92058   -0.05745
     0.90858   -0.08999
     0.89643   -0.12212
     0.88416   -0.15282
     0.87178   -0.18123
     0.85932   -0.20676
     0.84676   -0.22905
     0.83409   -0.24806
     0.82128   -0.26413
     0.80824   -0.27705
     0.79482   -0.28923
     0.78097   -0.30373
     0.76684   -0.32093
     0.75256   -0.33845
     0.73816   -0.35361
     0.72370   -0.35825
     0.70920   -0.36358
     0.69467   -0.36939
     0.68014   -0.37558
     0.66559   -0.38209
     0.65105   -0.38891
     0.63651   -0.39601
     0.62198   -0.40339
     0.60745   -0.41104
     0.59294   -0.41896
     0.57844   -0.42716
     0.56396   -0.43562
     0.54949   -0.44434
     0.53504   -0.45332
     0.52062   -0.46255
     0.50621   -0.47202
     0.49183   -0.48172
     0.47748   -0.49164
     0.46315   -0.50176
     0.44886   -0.51208
     0.43460   -0.52256
     0.42037   -0.53320
     0.40619   -0.54398
     0.39205   -0.55487
     0.37795   -0.56586
     0.36390   -0.57693
     0.34991   -0.58805
     0.33598   -0.59920
     0.32210   -0.61036
     0.30830   -0.62149
     0.29457   -0.63257
     0.28092   -0.64356
     0.26736   -0.65444
     0.25390   -0.66516
     0.24056   -0.67569
     0.22733   -0.68597
     0.21425   -0.69596
     0.20133   -0.70559
     0.18859   -0.71482
     0.17607   -0.72355
     0.16380   -0.73170
     0.15183   -0.73918
     0.14020   -0.74589
     0.12897   -0.75170
     0.11821   -0.75649
     0.10798   -0.76013
     0.09832   -0.76249
     0.08929   -0.76345
     0.08090   -0.76290
     0.07317   -0.76075
     0.06608   -0.75689
     0.05961   -0.75121
     0.05371   -0.74361
     0.04834   -0.73396
     0.04345   -0.72209
     0.03899   -0.70781
     0.03492   -0.69087
     0.03120   -0.67099
     0.02780   -0.64782
     0.02468   -0.62097
     0.02182   -0.58994
     0.01919   -0.55420
     0.01677   -0.51314
     0.01455   -0.46607
     0.01252   -0.41224
     0.01066   -0.35086
     0.00896   -0.28119
     0.00742   -0.20258
     0.00603   -0.11458
     0.00478   -0.01712
     0.00369    0.08930
     0.00274    0.20332
     0.00193    0.32263
     0.00127    0.44385
     0.00075    0.56260
     0.00037    0.67404
     0.00013    0.77342
     0.00001    0.85645
     0.00002    0.92155
     0.00015    0.96834
     0.00042    0.99456
     0.00083    0.99904
     0.00138    0.98208
     0.00209    0.94603
     0.00294    0.89431
     0.00395    0.83125
     0.00511    0.76088
     0.00643    0.68692
     0.00789    0.61221
     0.00951    0.53888
     0.01128    0.46834
     0.01322    0.40147
     0.01533    0.33871
     0.01762    0.28022
     0.02010    0.22598
     0.02278    0.17585
     0.02570    0.12963
     0.02886    0.08707
     0.03230    0.04793
     0.03604    0.01198
     0.04012   -0.02099
     0.04458   -0.05117
     0.04946   -0.07871
     0.05480   -0.10374
     0.06067   -0.12635
     0.06711   -0.14659
     0.07416   -0.16450
     0.08186   -0.18011
     0.09024   -0.19344
     0.09929   -0.20451
     0.10901   -0.21337
     0.11935   -0.22012
     0.13025   -0.22487
     0.14166   -0.22777
     0.15351   -0.22900
     0.16573   -0.22872
     0.17828   -0.22710
     0.19109   -0.22432
     0.20412   -0.22051
     0.21735   -0.21580
     0.23075   -0.21032
     0.24429   -0.20415
     0.25796   -0.19739
     0.27173   -0.19010
     0.28561   -0.18235
     0.29957   -0.17419
     0.31362   -0.16565
     0.32773   -0.15679
     0.34192   -0.14764
     0.35616   -0.13822
     0.37046   -0.12857
     0.38481   -0.11873
     0.39922   -0.10872
     0.41366   -0.09861
     0.42815   -0.08846
     0.44267   -0.07836
     0.45723   -0.06840
     0.47182   -0.05872
     0.48645   -0.04944
     0.50110   -0.04069
     0.51578   -0.03257
     0.53048   -0.02511
     0.54521   -0.01829
     0.55995   -0.01200
     0.57472   -0.00636
     0.58950   -0.00136
     0.60430    0.00300
     0.61911    0.00680
     0.63394    0.01008
     0.64877    0.01290
     0.66361    0.01533
     0.67845    0.01741
     0.69329    0.01920
     0.70812    0.02073
     0.72293    0.02205
     0.73770    0.02319
     0.75240    0.02416
     0.76699    0.02500
     0.78141    0.02572
     0.79553    0.02633
     0.80929    0.02690
     0.82281    0.02754
     0.83619    0.02828
     0.84947    0.02911
     0.86269    0.03004
     0.87585    0.03107
     0.88893    0.03221
     0.90192    0.03347
     0.91477    0.03484
     0.92742    0.03634
     0.93978    0.03796
     0.95173    0.03970
     0.96314    0.04156
     0.97387    0.04350
     0.98380    0.06245
     0.99286    0.09333
     1.00000    0.11807
