#      x          Cp  
     1.00000    0.13932
     0.99330    0.12856
     0.98481    0.11269
     0.97554    0.09261
     0.96556    0.06805
     0.95495    0.03917
     0.94385    0.00660
     0.93236   -0.02857
     0.92058   -0.06506
     0.90858   -0.10057
     0.89643   -0.13435
     0.88416   -0.16601
     0.87178   -0.19467
     0.85932   -0.21971
     0.84676   -0.24057
     0.83409   -0.25689
     0.82128   -0.26857
     0.80824   -0.27394
     0.79482   -0.27559
     0.78097   -0.27912
     0.76684   -0.28775
     0.75256   -0.29915
     0.73816   -0.31329
     0.72370   -0.32962
     0.70920   -0.34722
     0.69467   -0.36505
     0.68014   -0.38205
     0.66559   -0.39436
     0.65105   -0.39973
     0.63651   -0.40581
     0.62198   -0.41240
     0.60745   -0.41942
     0.59294   -0.42680
     0.57844   -0.43452
     0.56396   -0.44255
     0.54949   -0.45087
     0.53504   -0.45947
     0.52062   -0.46835
     0.50621   -0.47747
     0.49183   -0.48684
     0.47748   -0.49645
     0.46315   -0.50626
     0.44886   -0.51628
     0.43460   -0.52648
     0.42037   -0.53685
     0.40619   -0.54737
     0.39205   -0.55801
     0.37795   -0.56876
     0.36390   -0.57960
     0.34991   -0.59050
     0.33598   -0.60144
     0.32210   -0.61239
     0.30830   -0.62332
     0.29457   -0.63421
     0.28092   -0.64502
     0.26736   -0.65571
     0.25390   -0.66625
     0.24056   -0.67660
     0.22733   -0.68671
     0.21425   -0.69652
     0.20133   -0.70599
     0.18859   -0.71504
     0.17607   -0.72359
     0.16380   -0.73157
     0.15183   -0.73887
     0.14020   -0.74539
     0.12897   -0.75102
     0.11821   -0.75562
     0.10798   -0.75906
     0.09832   -0.76123
     0.08929   -0.76199
     0.08090   -0.76125
     0.07317   -0.75889
     0.06608   -0.75483
     0.05961   -0.74895
     0.05371   -0.74114
     0.04834   -0.73129
     0.04345   -0.71922
     0.03899   -0.70474
     0.03492   -0.68759
     0.03120   -0.66751
     0.02780   -0.64415
     0.02468   -0.61710
     0.02182   -0.58588
     0.01919   -0.54995
     0.01677   -0.50871
     0.01455   -0.46146
     0.01252   -0.40746
     0.01066   -0.34594
     0.00896   -0.27615
     0.00742   -0.19745
     0.00603   -0.10940
     0.00478   -0.01194
     0.00369    0.09441
     0.00274    0.20830
     0.00193    0.32739
     0.00127    0.44830
     0.00075    0.56665
     0.00037    0.67761
     0.00013    0.77644
     0.00001    0.85888
     0.00002    0.92335
     0.00015    0.96948
     0.00042    0.99502
     0.00083    0.99883
     0.00138    0.98123
     0.00209    0.94460
     0.00294    0.89237
     0.00395    0.82888
     0.00511    0.75817
     0.00643    0.68395
     0.00789    0.60905
     0.00951    0.53559
     0.01128    0.46498
     0.01322    0.39807
     0.01533    0.33531
     0.01762    0.27684
     0.02010    0.22266
     0.02278    0.17260
     0.02570    0.12647
     0.02886    0.08400
     0.03230    0.04496
     0.03604    0.00913
     0.04012   -0.02373
     0.04458   -0.05378
     0.04946   -0.08119
     0.05480   -0.10609
     0.06067   -0.12856
     0.06711   -0.14866
     0.07416   -0.16643
     0.08186   -0.18190
     0.09024   -0.19508
     0.09929   -0.20601
     0.10901   -0.21473
     0.11935   -0.22134
     0.13025   -0.22595
     0.14166   -0.22873
     0.15351   -0.22982
     0.16573   -0.22941
     0.17828   -0.22768
     0.19109   -0.22477
     0.20412   -0.22085
     0.21735   -0.21603
     0.23075   -0.21043
     0.24429   -0.20416
     0.25796   -0.19728
     0.27173   -0.18989
     0.28561   -0.18202
     0.29957   -0.17375
     0.31362   -0.16511
     0.32773   -0.15613
     0.34192   -0.14687
     0.35616   -0.13733
     0.37046   -0.12757
     0.38481   -0.11761
     0.39922   -0.10750
     0.41366   -0.09730
     0.42815   -0.08707
     0.44267   -0.07691
     0.45723   -0.06692
     0.47182   -0.05724
     0.48645   -0.04801
     0.50110   -0.03935
     0.51578   -0.03134
     0.53048   -0.02401
     0.54521   -0.01728
     0.55995   -0.01112
     0.57472   -0.00563
     0.58950   -0.00079
     0.60430    0.00343
     0.61911    0.00709
     0.63394    0.01024
     0.64877    0.01295
     0.66361    0.01527
     0.67845    0.01727
     0.69329    0.01898
     0.70812    0.02045
     0.72293    0.02171
     0.73770    0.02280
     0.75240    0.02373
     0.76699    0.02453
     0.78141    0.02523
     0.79553    0.02581
     0.80929    0.02636
     0.82281    0.02699
     0.83619    0.02771
     0.84947    0.02853
     0.86269    0.02944
     0.87585    0.03046
     0.88893    0.03159
     0.90192    0.03284
     0.91477    0.03421
     0.92742    0.03570
     0.93978    0.03733
     0.95173    0.03908
     0.96314    0.04095
     0.97387    0.04725
     0.98380    0.08263
     0.99286    0.11404
     1.00000    0.13932
