#  NACA 2814                                       
#  alpha =   1.3991
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.648298E-02
   0.517258E-04  0.142269E-01
   0.652751E-05  0.212329E-01
   0.154102E-03  0.278528E-01
   0.509248E-03  0.332442E-01
   0.108182E-02  0.372553E-01
   0.187894E-02  0.396296E-01
   0.290336E-02  0.405309E-01
   0.415660E-02  0.402191E-01
   0.564014E-02  0.390235E-01
   0.735722E-02  0.372496E-01
   0.931400E-02  0.351482E-01
   0.115205E-01  0.328970E-01
   0.139914E-01  0.306214E-01
   0.167467E-01  0.283984E-01
   0.198125E-01  0.262719E-01
   0.232220E-01  0.242680E-01
   0.270161E-01  0.223917E-01
   0.312450E-01  0.206463E-01
   0.359687E-01  0.190256E-01
   0.412578E-01  0.175234E-01
   0.471933E-01  0.161304E-01
   0.538643E-01  0.148404E-01
   0.613632E-01  0.136454E-01
   0.697769E-01  0.125402E-01
   0.791741E-01  0.115199E-01
   0.895906E-01  0.105817E-01
   0.101018      0.972164E-02
   0.113400      0.893629E-02
   0.126644      0.822146E-02
   0.140632      0.757179E-02
   0.155247      0.698082E-02
   0.170377      0.644241E-02
   0.185930      0.595031E-02
   0.201829      0.549908E-02
   0.218015      0.508379E-02
   0.234442      0.470011E-02
   0.251074      0.434428E-02
   0.267883      0.401347E-02
   0.284846      0.370501E-02
   0.301944      0.341671E-02
   0.319163      0.314693E-02
   0.336491      0.289406E-02
   0.353915      0.265692E-02
   0.371427      0.243443E-02
   0.389018      0.222581E-02
   0.406682      0.203035E-02
   0.424412      0.184758E-02
   0.442201      0.167706E-02
   0.460045      0.151859E-02
   0.477938      0.137198E-02
   0.495875      0.123720E-02
   0.513853      0.111436E-02
   0.531868      0.100359E-02
   0.549915      0.905186E-03
   0.567990      0.819558E-03
   0.586091      0.747332E-03
   0.604214      0.689363E-03
   0.622355      0.647024E-03
   0.640510      0.622472E-03
   0.658674      0.619301E-03
   0.676841      0.644207E-03
   0.695002      0.710767E-03
   0.713143      0.955729E-03
   0.731240      0.136796E-02
   0.749252      0.189223E-02
   0.767109      0.248991E-02
   0.784689      0.311427E-02
   0.801795      0.378876E-02
   0.818246      0.427491E-02
   0.834311      0.443518E-02
   0.850136      0.436292E-02
   0.865794      0.410531E-02
   0.881309      0.371213E-02
   0.896674      0.322877E-02
   0.911847      0.269953E-02
   0.926754      0.217389E-02
   0.941269      0.168524E-02
   0.955217      0.125512E-02
   0.968380      0.900567E-03
   0.980531      0.625175E-03
   0.991499      0.422861E-03
    1.00000      0.298134E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.122447E-02
   0.146544E-02  0.837685E-02
   0.240290E-02  0.144839E-01
   0.358061E-02  0.191367E-01
