#  NACA 2814                                       
#  alpha =   1.6184
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.736149E-02
   0.517258E-04  0.151023E-01
   0.652751E-05  0.220856E-01
   0.154102E-03  0.286588E-01
   0.509248E-03  0.339843E-01
   0.108182E-02  0.379041E-01
   0.187894E-02  0.401806E-01
   0.290336E-02  0.409807E-01
   0.415660E-02  0.405731E-01
   0.564014E-02  0.392911E-01
   0.735722E-02  0.374420E-01
   0.931400E-02  0.352770E-01
   0.115205E-01  0.329730E-01
   0.139914E-01  0.306542E-01
   0.167467E-01  0.283960E-01
   0.198125E-01  0.262413E-01
   0.232220E-01  0.242148E-01
   0.270161E-01  0.223205E-01
   0.312450E-01  0.205610E-01
   0.359687E-01  0.189291E-01
   0.412578E-01  0.174184E-01
   0.471933E-01  0.160187E-01
   0.538643E-01  0.147237E-01
   0.613632E-01  0.135247E-01
   0.697769E-01  0.124165E-01
   0.791741E-01  0.113938E-01
   0.895906E-01  0.104536E-01
   0.101018      0.959163E-02
   0.113400      0.880425E-02
   0.126644      0.808712E-02
   0.140632      0.743471E-02
   0.155247      0.684047E-02
   0.170377      0.629812E-02
   0.185930      0.580133E-02
   0.201829      0.534457E-02
   0.218015      0.492278E-02
   0.234442      0.453153E-02
   0.251074      0.416691E-02
   0.267883      0.382595E-02
   0.284846      0.350581E-02
   0.301944      0.320411E-02
   0.319163      0.291901E-02
   0.336491      0.264869E-02
   0.353915      0.239177E-02
   0.371427      0.214700E-02
   0.389018      0.191342E-02
   0.406682      0.169023E-02
   0.424412      0.147694E-02
   0.442201      0.127322E-02
   0.460045      0.107910E-02
   0.477938      0.894789E-03
   0.495875      0.720844E-03
   0.513853      0.558064E-03
   0.531868      0.407406E-03
   0.549915      0.269946E-03
   0.567990      0.146723E-03
   0.586091      0.385878E-04
   0.604214     -0.539894E-04
   0.622355     -0.130995E-03
   0.640510     -0.192985E-03
   0.658674     -0.241065E-03
   0.676841     -0.276780E-03
   0.695002     -0.302051E-03
   0.713143     -0.318859E-03
   0.731240     -0.328895E-03
   0.749252     -0.333652E-03
   0.767109     -0.334209E-03
   0.784689     -0.331487E-03
   0.801795     -0.324016E-03
   0.818246     -0.320540E-03
   0.834311     -0.323412E-03
   0.850136     -0.209518E-03
   0.865794     -0.144740E-03
   0.881309     -0.566286E-04
   0.896674      0.752380E-05
   0.911847      0.323324E-04
   0.926754      0.258621E-04
   0.941269      0.586806E-06
   0.955217     -0.323891E-04
