#  NACA 2814                                       
#  alpha =   1.5716
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.726923E-02
   0.517258E-04  0.150131E-01
   0.652751E-05  0.220014E-01
   0.154102E-03  0.285824E-01
   0.509248E-03  0.339175E-01
   0.108182E-02  0.378494E-01
   0.187894E-02  0.401382E-01
   0.290336E-02  0.409504E-01
   0.415660E-02  0.405539E-01
   0.564014E-02  0.392816E-01
   0.735722E-02  0.374408E-01
   0.931400E-02  0.352826E-01
   0.115205E-01  0.329842E-01
   0.139914E-01  0.306698E-01
   0.167467E-01  0.284152E-01
   0.198125E-01  0.262632E-01
   0.232220E-01  0.242389E-01
   0.270161E-01  0.223464E-01
   0.312450E-01  0.205882E-01
   0.359687E-01  0.189575E-01
   0.412578E-01  0.174477E-01
   0.471933E-01  0.160488E-01
   0.538643E-01  0.147544E-01
   0.613632E-01  0.135561E-01
   0.697769E-01  0.124485E-01
   0.791741E-01  0.114265E-01
   0.895906E-01  0.104870E-01
   0.101018      0.962586E-02
   0.113400      0.883950E-02
   0.126644      0.812359E-02
   0.140632      0.747263E-02
   0.155247      0.688009E-02
   0.170377      0.633973E-02
   0.185930      0.584527E-02
   0.201829      0.539119E-02
   0.218015      0.497251E-02
   0.234442      0.458484E-02
   0.251074      0.422434E-02
   0.267883      0.388813E-02
   0.284846      0.357344E-02
   0.301944      0.327800E-02
   0.319163      0.300006E-02
   0.336491      0.273791E-02
   0.353915      0.249028E-02
   0.371427      0.225599E-02
   0.389018      0.203415E-02
   0.406682      0.182400E-02
   0.424412      0.162500E-02
   0.442201      0.143669E-02
   0.460045      0.125890E-02
   0.477938      0.109149E-02
   0.495875      0.934509E-03
   0.513853      0.788148E-03
   0.531868      0.652641E-03
   0.549915      0.528297E-03
   0.567990      0.415426E-03
   0.586091      0.314309E-03
   0.604214      0.225099E-03
   0.622355      0.147869E-03
   0.640510      0.825496E-04
   0.658674      0.289513E-04
   0.676841     -0.131550E-04
   0.695002     -0.439168E-04
   0.713143     -0.632349E-04
   0.731240     -0.703900E-04
   0.749252     -0.636394E-04
   0.767109     -0.387546E-04
   0.784689      0.110404E-04
   0.801795      0.128306E-03
   0.818246      0.406923E-03
   0.834311      0.649883E-03
   0.850136      0.823210E-03
   0.865794      0.900479E-03
   0.881309      0.880950E-03
   0.896674      0.782572E-03
   0.911847      0.634326E-03
   0.926754      0.472262E-03
   0.941269      0.314038E-03
   0.955217      0.177214E-03
   0.968380      0.710050E-04
   0.980531     -0.417674E-05
   0.991499     -0.540197E-04
    1.00000     -0.776312E-04
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.455187E-03
   0.146544E-02  0.767878E-02
   0.240290E-02  0.138189E-01
   0.358061E-02  0.185907E-01
   0.499817E-02  0.219139E-01
   0.665500E-02  0.239767E-01
   0.855236E-02  0.249975E-01
   0.106948E-01  0.252405E-01
   0.130911E-01  0.249244E-01
   0.157552E-01  0.242304E-01
   0.187069E-01  0.232922E-01
   0.219723E-01  0.222044E-01
   0.255849E-01  0.210360E-01
   0.295867E-01  0.198323E-01
   0.340288E-01  0.186217E-01
   0.389730E-01  0.174269E-01
   0.444923E-01  0.162579E-01
   0.506707E-01  0.151233E-01
   0.576015E-01  0.140288E-01
   0.653819E-01  0.129786E-01
   0.741045E-01  0.119763E-01
   0.838430E-01  0.110255E-01
   0.946370E-01  0.101309E-01
   0.106478      0.929561E-02
   0.119308      0.852250E-02
   0.133025      0.781136E-02
   0.147504      0.716101E-02
   0.162617      0.656739E-02
   0.178248      0.602554E-02
   0.194297      0.553028E-02
   0.210686      0.507582E-02
   0.227354      0.465705E-02
   0.244254      0.426918E-02
   0.261348      0.390792E-02
   0.278610      0.356927E-02
   0.296018      0.324989E-02
   0.313553      0.294647E-02
   0.331201      0.265612E-02
   0.348950      0.237618E-02
   0.366789      0.210413E-02
   0.384711      0.183778E-02
   0.402707      0.157549E-02
   0.420771      0.131617E-02
   0.438896      0.105991E-02
   0.457078      0.808232E-03
   0.475311      0.564675E-03
   0.493590      0.335176E-03
   0.511913      0.127879E-03
   0.530274     -0.479179E-04
   0.548670     -0.183846E-03
   0.567098     -0.275603E-03
   0.585554     -0.326246E-03
   0.604035     -0.344206E-03
   0.622536     -0.342531E-03
   0.641056     -0.332060E-03
   0.659589     -0.318170E-03
   0.678129     -0.306017E-03
   0.696668     -0.296067E-03
