#  NACA 2814                                       
#  alpha =   1.6132
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.738139E-02
   0.517258E-04  0.151232E-01
   0.652751E-05  0.221071E-01
   0.154102E-03  0.286804E-01
   0.509248E-03  0.340055E-01
   0.108182E-02  0.379243E-01
   0.187894E-02  0.401994E-01
   0.290336E-02  0.409978E-01
   0.415660E-02  0.405885E-01
   0.564014E-02  0.393048E-01
   0.735722E-02  0.374542E-01
   0.931400E-02  0.352878E-01
   0.115205E-01  0.329827E-01
   0.139914E-01  0.306628E-01
   0.167467E-01  0.284038E-01
   0.198125E-01  0.262484E-01
   0.232220E-01  0.242213E-01
   0.270161E-01  0.223266E-01
   0.312450E-01  0.205667E-01
   0.359687E-01  0.189346E-01
   0.412578E-01  0.174237E-01
   0.471933E-01  0.160239E-01
   0.538643E-01  0.147288E-01
   0.613632E-01  0.135298E-01
   0.697769E-01  0.124217E-01
   0.791741E-01  0.113992E-01
   0.895906E-01  0.104591E-01
   0.101018      0.959738E-02
   0.113400      0.881030E-02
   0.126644      0.809354E-02
   0.140632      0.744156E-02
   0.155247      0.684782E-02
   0.170377      0.630606E-02
   0.185930      0.580995E-02
   0.201829      0.535396E-02
   0.218015      0.493306E-02
   0.234442      0.454282E-02
   0.251074      0.417937E-02
   0.267883      0.383976E-02
   0.284846      0.352115E-02
   0.301944      0.322122E-02
   0.319163      0.293815E-02
   0.336491      0.267016E-02
   0.353915      0.241589E-02
   0.371427      0.217411E-02
   0.389018      0.194389E-02
   0.406682      0.172444E-02
   0.424412      0.151524E-02
   0.442201      0.131591E-02
   0.460045      0.112640E-02
   0.477938      0.946808E-03
   0.495875      0.777488E-03
   0.513853      0.619021E-03
   0.531868      0.472101E-03
   0.549915      0.337528E-03
   0.567990      0.216086E-03
   0.586091      0.108432E-03
   0.604214      0.149433E-04
   0.622355     -0.643234E-04
   0.640510     -0.129734E-03
   0.658674     -0.182078E-03
   0.676841     -0.222495E-03
   0.695002     -0.252358E-03
   0.713143     -0.273134E-03
   0.731240     -0.286243E-03
   0.749252     -0.292780E-03
   0.767109     -0.293180E-03
   0.784689     -0.287660E-03
   0.801795     -0.271613E-03
   0.818246     -0.261680E-03
   0.834311     -0.172103E-03
   0.850136     -0.900722E-04
   0.865794      0.303405E-04
   0.881309      0.115954E-03
   0.896674      0.150354E-03
   0.911847      0.140772E-03
   0.926754      0.102473E-03
   0.941269      0.504083E-04
   0.955217     -0.134212E-05
   0.968380     -0.462062E-04
