#  NACA 2814                                       
#  alpha =   1.5211
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.704588E-02
   0.517258E-04  0.147902E-01
   0.652751E-05  0.217838E-01
   0.154102E-03  0.283762E-01
   0.509248E-03  0.337276E-01
   0.108182E-02  0.376822E-01
   0.187894E-02  0.399955E-01
   0.290336E-02  0.408331E-01
   0.415660E-02  0.404608E-01
   0.564014E-02  0.392103E-01
   0.735722E-02  0.373885E-01
   0.931400E-02  0.352464E-01
   0.115205E-01  0.329614E-01
   0.139914E-01  0.306580E-01
   0.167467E-01  0.284123E-01
   0.198125E-01  0.262676E-01
   0.232220E-01  0.242490E-01
   0.270161E-01  0.223610E-01
   0.312450E-01  0.206065E-01
   0.359687E-01  0.189786E-01
   0.412578E-01  0.174709E-01
   0.471933E-01  0.160736E-01
   0.538643E-01  0.147805E-01
   0.613632E-01  0.135831E-01
   0.697769E-01  0.124762E-01
   0.791741E-01  0.114547E-01
   0.895906E-01  0.105156E-01
   0.101018      0.965480E-02
   0.113400      0.886878E-02
   0.126644      0.815325E-02
   0.140632      0.750273E-02
   0.155247      0.691073E-02
   0.170377      0.637104E-02
   0.185930      0.587738E-02
   0.201829      0.542427E-02
   0.218015      0.500673E-02
   0.234442      0.462039E-02
   0.251074      0.426146E-02
   0.267883      0.392705E-02
   0.284846      0.361443E-02
   0.301944      0.332137E-02
   0.319163      0.304614E-02
   0.336491      0.278707E-02
   0.353915      0.254291E-02
   0.371427      0.231252E-02
   0.389018      0.209503E-02
   0.406682      0.188968E-02
   0.424412      0.169594E-02
   0.442201      0.151334E-02
   0.460045      0.134164E-02
   0.477938      0.118065E-02
   0.495875      0.103033E-02
   0.513853      0.890755E-03
   0.531868      0.762025E-03
   0.549915      0.644317E-03
   0.567990      0.537825E-03
   0.586091      0.442755E-03
   0.604214      0.359245E-03
   0.622355      0.287462E-03
   0.640510      0.227555E-03
   0.658674      0.179726E-03
   0.676841      0.144353E-03
   0.695002      0.122195E-03
   0.713143      0.114691E-03
   0.731240      0.124639E-03
   0.749252      0.157217E-03
