#      x          Cp  
     1.00000    0.13076
     0.99330    0.12097
     0.98481    0.10649
     0.97554    0.08807
     0.96556    0.06535
     0.95495    0.03838
     0.94385    0.00766
     0.93236   -0.02587
     0.92058   -0.06102
     0.90858   -0.09506
     0.89643   -0.12812
     0.88416   -0.15929
     0.87178   -0.18768
     0.85932   -0.21270
     0.84676   -0.23386
     0.83409   -0.25097
     0.82128   -0.26421
     0.80824   -0.27275
     0.79482   -0.27944
     0.78097   -0.28888
     0.76684   -0.30298
     0.75256   -0.31934
     0.73816   -0.33698
     0.72370   -0.35458
     0.70920   -0.37042
     0.69467   -0.37523
     0.68014   -0.38077
     0.66559   -0.38684
     0.65105   -0.39331
     0.63651   -0.40014
     0.62198   -0.40729
     0.60745   -0.41474
     0.59294   -0.42249
     0.57844   -0.43052
     0.56396   -0.43882
     0.54949   -0.44739
     0.53504   -0.45622
     0.52062   -0.46530
     0.50621   -0.47462
     0.49183   -0.48418
     0.47748   -0.49396
     0.46315   -0.50394
     0.44886   -0.51412
     0.43460   -0.52447
     0.42037   -0.53498
     0.40619   -0.54563
     0.39205   -0.55640
     0.37795   -0.56727
     0.36390   -0.57822
     0.34991   -0.58923
     0.33598   -0.60027
     0.32210   -0.61132
     0.30830   -0.62235
     0.29457   -0.63333
     0.28092   -0.64422
     0.26736   -0.65500
     0.25390   -0.66562
     0.24056   -0.67605
     0.22733   -0.68623
     0.21425   -0.69612
     0.20133   -0.70566
     0.18859   -0.71478
     0.17607   -0.72341
     0.16380   -0.73147
     0.15183   -0.73884
     0.14020   -0.74544
     0.12897   -0.75114
     0.11821   -0.75581
     0.10798   -0.75934
     0.09832   -0.76158
     0.08929   -0.76242
     0.08090   -0.76176
     0.07317   -0.75948
     0.06608   -0.75549
     0.05961   -0.74969
     0.05371   -0.74196
     0.04834   -0.73219
     0.04345   -0.72020
     0.03899   -0.70579
     0.03492   -0.68872
     0.03120   -0.66872
     0.02780   -0.64543
     0.02468   -0.61845
     0.02182   -0.58731
     0.01919   -0.55145
     0.01677   -0.51027
     0.01455   -0.46309
     0.01252   -0.40915
     0.01066   -0.34769
     0.00896   -0.27795
     0.00742   -0.19928
     0.00603   -0.11125
     0.00478   -0.01379
     0.00369    0.09258
     0.00274    0.20652
     0.00193    0.32568
     0.00127    0.44670
     0.00075    0.56520
     0.00037    0.67633
     0.00013    0.77535
     0.00001    0.85801
     0.00002    0.92270
     0.00015    0.96907
     0.00042    0.99486
     0.00083    0.99891
     0.00138    0.98153
     0.00209    0.94512
     0.00294    0.89307
     0.00395    0.82973
     0.00511    0.75914
     0.00643    0.68502
     0.00789    0.61018
     0.00951    0.53677
     0.01128    0.46618
     0.01322    0.39928
     0.01533    0.33652
     0.01762    0.27804
     0.02010    0.22383
     0.02278    0.17375
     0.02570    0.12758
     0.02886    0.08508
     0.03230    0.04601
     0.03604    0.01013
     0.04012   -0.02277
     0.04458   -0.05287
     0.04946   -0.08034
     0.05480   -0.10529
     0.06067   -0.12781
     0.06711   -0.14796
     0.07416   -0.16578
     0.08186   -0.18131
     0.09024   -0.19455
     0.09929   -0.20553
     0.10901   -0.21430
     0.11935   -0.22097
     0.13025   -0.22564
     0.14166   -0.22846
     0.15351   -0.22961
     0.16573   -0.22925
     0.17828   -0.22756
     0.19109   -0.22471
     0.20412   -0.22083
     0.21735   -0.21606
     0.23075   -0.21051
     0.24429   -0.20427
     0.25796   -0.19745
     0.27173   -0.19010
     0.28561   -0.18228
     0.29957   -0.17405
     0.31362   -0.16546
     0.32773   -0.15654
     0.34192   -0.14732
     0.35616   -0.13784
     0.37046   -0.12812
     0.38481   -0.11822
     0.39922   -0.10815
     0.41366   -0.09799
     0.42815   -0.08780
     0.44267   -0.07766
     0.45723   -0.06769
     0.47182   -0.05801
     0.48645   -0.04875
     0.50110   -0.04005
     0.51578   -0.03199
     0.53048   -0.02460
     0.54521   -0.01783
     0.55995   -0.01161
     0.57472   -0.00605
     0.58950   -0.00113
     0.60430    0.00316
     0.61911    0.00688
     0.63394    0.01009
     0.64877    0.01285
     0.66361    0.01522
     0.67845    0.01726
     0.69329    0.01901
     0.70812    0.02051
     0.72293    0.02180
     0.73770    0.02291
     0.75240    0.02386
     0.76699    0.02468
     0.78141    0.02539
     0.79553    0.02599
     0.80929    0.02655
     0.82281    0.02719
     0.83619    0.02792
     0.84947    0.02874
     0.86269    0.02966
     0.87585    0.03069
     0.88893    0.03183
     0.90192    0.03308
     0.91477    0.03445
     0.92742    0.03595
     0.93978    0.03758
     0.95173    0.03933
     0.96314    0.04120
     0.97387    0.04317
     0.98380    0.07388
     0.99286    0.10545
     1.00000    0.13076
