#      x          Cp  
     1.00000    0.05940
     0.99330    0.05274
     0.98481    0.04402
     0.97554    0.03385
     0.96556    0.02145
     0.95495    0.00515
     0.94385   -0.01439
     0.93236   -0.03693
     0.92058   -0.06223
     0.90858   -0.08986
     0.89643   -0.11855
     0.88416   -0.14850
     0.87178   -0.17930
     0.85932   -0.21060
     0.84676   -0.24202
     0.83409   -0.27310
     0.82128   -0.30330
     0.80824   -0.31011
     0.79482   -0.31475
     0.78097   -0.31961
     0.76684   -0.32467
     0.75256   -0.32989
     0.73816   -0.33530
     0.72370   -0.34090
     0.70920   -0.34670
     0.69467   -0.35271
     0.68014   -0.35895
     0.66559   -0.36545
     0.65105   -0.37222
     0.63651   -0.37928
     0.62198   -0.38664
     0.60745   -0.39433
     0.59294   -0.40236
     0.57844   -0.41073
     0.56396   -0.41944
     0.54949   -0.42849
     0.53504   -0.43787
     0.52062   -0.44757
     0.50621   -0.45756
     0.49183   -0.46784
     0.47748   -0.47837
     0.46315   -0.48913
     0.44886   -0.50010
     0.43460   -0.51125
     0.42037   -0.52257
     0.40619   -0.53402
     0.39205   -0.54558
     0.37795   -0.55723
     0.36390   -0.56894
     0.34991   -0.58070
     0.33598   -0.59247
     0.32210   -0.60424
     0.30830   -0.61597
     0.29457   -0.62764
     0.28092   -0.63922
     0.26736   -0.65067
     0.25390   -0.66197
     0.24056   -0.67306
     0.22733   -0.68391
     0.21425   -0.69447
     0.20133   -0.70468
     0.18859   -0.71449
     0.17607   -0.72381
     0.16380   -0.73257
     0.15183   -0.74067
     0.14020   -0.74800
     0.12897   -0.75446
     0.11821   -0.75991
     0.10798   -0.76423
     0.09832   -0.76728
     0.08929   -0.76894
     0.08090   -0.76911
     0.07317   -0.76768
     0.06608   -0.76454
     0.05961   -0.75959
     0.05371   -0.75272
     0.04834   -0.74380
     0.04345   -0.73267
     0.03899   -0.71912
     0.03492   -0.70291
     0.03120   -0.68376
     0.02780   -0.66133
     0.02468   -0.63520
     0.02182   -0.60488
     0.01919   -0.56985
     0.01677   -0.52947
     0.01455   -0.48304
     0.01252   -0.42981
     0.01066   -0.36898
     0.00896   -0.29977
     0.00742   -0.22150
     0.00603   -0.13371
     0.00478   -0.03626
     0.00369    0.07037
     0.00274    0.18487
     0.00193    0.30497
     0.00127    0.42731
     0.00075    0.54752
     0.00037    0.66071
     0.00013    0.76210
     0.00001    0.84732
     0.00002    0.91471
     0.00015    0.96393
     0.00042    0.99265
     0.00083    0.99963
     0.00138    0.98505
     0.00209    0.95117
     0.00294    0.90136
     0.00395    0.83989
     0.00511    0.77082
     0.00643    0.69787
     0.00789    0.62390
     0.00951    0.55108
     0.01128    0.48086
     0.01322    0.41415
     0.01533    0.35142
     0.01762    0.29285
     0.02010    0.23845
     0.02278    0.18810
     0.02570    0.14159
     0.02886    0.09870
     0.03230    0.05920
     0.03604    0.02286
     0.04012   -0.01053
     0.04458   -0.04115
     0.04946   -0.06915
     0.05480   -0.09465
     0.06067   -0.11773
     0.06711   -0.13846
     0.07416   -0.15687
     0.08186   -0.17298
     0.09024   -0.18681
     0.09929   -0.19838
     0.10901   -0.20774
     0.11935   -0.21498
     0.13025   -0.22020
     0.14166   -0.22357
     0.15351   -0.22524
     0.16573   -0.22540
     0.17828   -0.22420
     0.19109   -0.22182
     0.20412   -0.21841
     0.21735   -0.21409
     0.23075   -0.20898
     0.24429   -0.20318
     0.25796   -0.19678
     0.27173   -0.18986
     0.28561   -0.18246
     0.29957   -0.17466
     0.31362   -0.16648
     0.32773   -0.15798
     0.34192   -0.14919
     0.35616   -0.14013
     0.37046   -0.13084
     0.38481   -0.12135
     0.39922   -0.11169
     0.41366   -0.10189
     0.42815   -0.09202
     0.44267   -0.08213
     0.45723   -0.07231
     0.47182   -0.06265
     0.48645   -0.05329
     0.50110   -0.04434
     0.51578   -0.03591
     0.53048   -0.02809
     0.54521   -0.02091
     0.55995   -0.01432
     0.57472   -0.00825
     0.58950   -0.00280
     0.60430    0.00203
     0.61911    0.00627
     0.63394    0.00995
     0.64877    0.01314
     0.66361    0.01589
     0.67845    0.01826
     0.69329    0.02029
     0.70812    0.02205
     0.72293    0.02355
     0.73770    0.02484
     0.75240    0.02595
     0.76699    0.02689
     0.78141    0.02771
     0.79553    0.02839
     0.80929    0.02902
     0.82281    0.02972
     0.83619    0.03051
     0.84947    0.03138
     0.86269    0.03235
     0.87585    0.03342
     0.88893    0.03459
     0.90192    0.03587
     0.91477    0.03727
     0.92742    0.03878
     0.93978    0.04040
     0.95173    0.04212
     0.96314    0.04393
     0.97387    0.04579
     0.98380    0.04769
     0.99286    0.04956
     1.00000    0.05940
