#  NACA 2814                                       
#  alpha =   1.4288
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.661387E-02
   0.517258E-04  0.143582E-01
   0.652751E-05  0.213615E-01
   0.154102E-03  0.279752E-01
   0.509248E-03  0.333575E-01
   0.108182E-02  0.373556E-01
   0.187894E-02  0.397158E-01
   0.290336E-02  0.406023E-01
   0.415660E-02  0.402764E-01
   0.564014E-02  0.390680E-01
   0.735722E-02  0.372828E-01
   0.931400E-02  0.351719E-01
   0.115205E-01  0.329128E-01
   0.139914E-01  0.306307E-01
   0.167467E-01  0.284023E-01
   0.198125E-01  0.262715E-01
   0.232220E-01  0.242641E-01
   0.270161E-01  0.223850E-01
   0.312450E-01  0.206374E-01
   0.359687E-01  0.190149E-01
   0.412578E-01  0.175115E-01
   0.471933E-01  0.161174E-01
   0.538643E-01  0.148266E-01
   0.613632E-01  0.136310E-01
   0.697769E-01  0.125253E-01
   0.791741E-01  0.115047E-01
   0.895906E-01  0.105663E-01
   0.101018      0.970597E-02
   0.113400      0.892041E-02
   0.126644      0.820537E-02
   0.140632      0.755544E-02
   0.155247      0.696418E-02
   0.170377      0.642541E-02
   0.185930      0.593288E-02
   0.201829      0.548114E-02
   0.218015      0.506523E-02
   0.234442      0.468084E-02
   0.251074      0.432417E-02
   0.267883      0.399240E-02
   0.284846      0.368282E-02
   0.301944      0.339323E-02
   0.319163      0.312198E-02
   0.336491      0.286742E-02
   0.353915      0.262836E-02
   0.371427      0.240369E-02
   0.389018      0.219260E-02
   0.406682      0.199436E-02
   0.424412      0.180845E-02
   0.442201      0.163442E-02
   0.460045      0.147203E-02
   0.477938      0.132106E-02
   0.495875      0.118143E-02
   0.513853      0.105319E-02
   0.531868      0.936402E-03
   0.549915      0.831232E-03
   0.567990      0.737923E-03
   0.586091      0.656825E-03
   0.604214      0.588364E-03
   0.622355      0.533221E-03
   0.640510      0.492397E-03
   0.658674      0.467457E-03
   0.676841      0.461004E-03
   0.695002      0.477569E-03
   0.713143      0.525807E-03
   0.731240      0.632728E-03
   0.749252      0.978080E-03
   0.767109      0.145467E-02
   0.784689      0.203320E-02
   0.801795      0.271540E-02
   0.818246      0.327056E-02
   0.834311      0.354359E-02
   0.850136      0.358907E-02
   0.865794      0.344031E-02
   0.881309      0.314250E-02
   0.896674      0.274199E-02
   0.911847      0.228589E-02
   0.926754      0.182502E-02
   0.941269      0.139622E-02
   0.955217      0.101975E-02
   0.968380      0.711681E-03
   0.980531      0.474943E-03
   0.991499      0.303620E-03
    1.00000      0.200195E-03
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.109670E-02
   0.146544E-02  0.826056E-02
   0.240290E-02  0.143751E-01
   0.358061E-02  0.190460E-01
   0.499817E-02  0.223256E-01
   0.665500E-02  0.243083E-01
   0.855236E-02  0.252734E-01
   0.106948E-01  0.254617E-01
