#      x          Cp  
     1.00000    0.07921
     0.99330    0.07350
     0.98481    0.06518
     0.97554    0.05331
     0.96556    0.03836
     0.95495    0.02002
     0.94385   -0.00174
     0.93236   -0.02669
     0.92058   -0.05428
     0.90858   -0.08315
     0.89643   -0.11244
     0.88416   -0.14188
     0.87178   -0.17078
     0.85932   -0.19861
     0.84676   -0.22502
     0.83409   -0.24988
     0.82128   -0.27318
     0.80824   -0.29475
     0.79482   -0.31518
     0.78097   -0.32490
     0.76684   -0.32982
     0.75256   -0.33512
     0.73816   -0.34071
     0.72370   -0.34654
     0.70920   -0.35260
     0.69467   -0.35889
     0.68014   -0.36540
     0.66559   -0.37215
     0.65105   -0.37916
     0.63651   -0.38642
     0.62198   -0.39396
     0.60745   -0.40178
     0.59294   -0.40989
     0.57844   -0.41829
     0.56396   -0.42698
     0.54949   -0.43596
     0.53504   -0.44522
     0.52062   -0.45475
     0.50621   -0.46455
     0.49183   -0.47459
     0.47748   -0.48487
     0.46315   -0.49535
     0.44886   -0.50604
     0.43460   -0.51690
     0.42037   -0.52792
     0.40619   -0.53907
     0.39205   -0.55034
     0.37795   -0.56171
     0.36390   -0.57315
     0.34991   -0.58463
     0.33598   -0.59615
     0.32210   -0.60766
     0.30830   -0.61914
     0.29457   -0.63057
     0.28092   -0.64192
     0.26736   -0.65315
     0.25390   -0.66422
     0.24056   -0.67510
     0.22733   -0.68574
     0.21425   -0.69609
     0.20133   -0.70609
     0.18859   -0.71569
     0.17607   -0.72480
     0.16380   -0.73335
     0.15183   -0.74124
     0.14020   -0.74837
     0.12897   -0.75461
     0.11821   -0.75985
     0.10798   -0.76395
     0.09832   -0.76678
     0.08929   -0.76823
     0.08090   -0.76817
     0.07317   -0.76652
     0.06608   -0.76316
     0.05961   -0.75799
     0.05371   -0.75090
     0.04834   -0.74176
     0.04345   -0.73041
     0.03899   -0.71664
     0.03492   -0.70022
     0.03120   -0.68085
     0.02780   -0.65820
     0.02468   -0.63186
     0.02182   -0.60133
     0.01919   -0.56609
     0.01677   -0.52550
     0.01455   -0.47888
     0.01252   -0.42547
     0.01066   -0.36446
     0.00896   -0.29511
     0.00742   -0.21672
     0.00603   -0.12884
     0.00478   -0.03136
     0.00369    0.07524
     0.00274    0.18965
     0.00193    0.30957
     0.00127    0.43164
     0.00075    0.55148
     0.00037    0.66423
     0.00013    0.76511
     0.00001    0.84976
     0.00002    0.91655
     0.00015    0.96513
     0.00042    0.99319
     0.00083    0.99950
     0.00138    0.98428
     0.00209    0.94982
     0.00294    0.89949
     0.00395    0.83758
     0.00511    0.76816
     0.00643    0.69492
     0.00789    0.62075
     0.00951    0.54779
     0.01128    0.47748
     0.01322    0.41072
     0.01533    0.34797
     0.01762    0.28942
     0.02010    0.23506
     0.02278    0.18476
     0.02570    0.13834
     0.02886    0.09553
     0.03230    0.05613
     0.03604    0.01989
     0.04012   -0.01339
     0.04458   -0.04388
     0.04946   -0.07175
     0.05480   -0.09712
     0.06067   -0.12007
     0.06711   -0.14066
     0.07416   -0.15893
     0.08186   -0.17490
     0.09024   -0.18859
     0.09929   -0.20002
     0.10901   -0.20923
     0.11935   -0.21633
     0.13025   -0.22142
     0.14166   -0.22465
     0.15351   -0.22619
     0.16573   -0.22622
     0.17828   -0.22490
     0.19109   -0.22240
     0.20412   -0.21887
     0.21735   -0.21443
     0.23075   -0.20921
     0.24429   -0.20330
     0.25796   -0.19679
     0.27173   -0.18976
     0.28561   -0.18225
     0.29957   -0.17434
     0.31362   -0.16606
     0.32773   -0.15744
     0.34192   -0.14854
     0.35616   -0.13937
     0.37046   -0.12997
     0.38481   -0.12036
     0.39922   -0.11059
     0.41366   -0.10070
     0.42815   -0.09073
     0.44267   -0.08077
     0.45723   -0.07090
     0.47182   -0.06123
     0.48645   -0.05188
     0.50110   -0.04298
     0.51578   -0.03464
     0.53048   -0.02694
     0.54521   -0.01987
     0.55995   -0.01338
     0.57472   -0.00744
     0.58950   -0.00213
     0.60430    0.00255
     0.61911    0.00664
     0.63394    0.01019
     0.64877    0.01326
     0.66361    0.01590
     0.67845    0.01817
     0.69329    0.02013
     0.70812    0.02180
     0.72293    0.02325
     0.73770    0.02448
     0.75240    0.02554
     0.76699    0.02645
     0.78141    0.02724
     0.79553    0.02789
     0.80929    0.02850
     0.82281    0.02918
     0.83619    0.02995
     0.84947    0.03081
     0.86269    0.03176
     0.87585    0.03282
     0.88893    0.03398
     0.90192    0.03525
     0.91477    0.03663
     0.92742    0.03814
     0.93978    0.03976
     0.95173    0.04148
     0.96314    0.04330
     0.97387    0.04518
     0.98380    0.04711
     0.99286    0.05451
     1.00000    0.07921
