#  NACA 2814                                       
#  alpha =   1.6031
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.736928E-02
   0.517258E-04  0.151119E-01
   0.652751E-05  0.220969E-01
   0.154102E-03  0.286717E-01
   0.509248E-03  0.339984E-01
   0.108182E-02  0.379192E-01
   0.187894E-02  0.401963E-01
   0.290336E-02  0.409965E-01
   0.415660E-02  0.405889E-01
   0.564014E-02  0.393065E-01
   0.735722E-02  0.374570E-01
   0.931400E-02  0.352916E-01
   0.115205E-01  0.329872E-01
   0.139914E-01  0.306679E-01
   0.167467E-01  0.284094E-01
   0.198125E-01  0.262543E-01
   0.232220E-01  0.242275E-01
   0.270161E-01  0.223330E-01
   0.312450E-01  0.205732E-01
   0.359687E-01  0.189413E-01
   0.412578E-01  0.174305E-01
   0.471933E-01  0.160308E-01
   0.538643E-01  0.147358E-01
   0.613632E-01  0.135370E-01
   0.697769E-01  0.124290E-01
   0.791741E-01  0.114066E-01
   0.895906E-01  0.104667E-01
   0.101018      0.960520E-02
   0.113400      0.881839E-02
   0.126644      0.810195E-02
   0.140632      0.745035E-02
   0.155247      0.685706E-02
   0.170377      0.631582E-02
   0.185930      0.582031E-02
   0.201829      0.536502E-02
   0.218015      0.494492E-02
   0.234442      0.455561E-02
   0.251074      0.419322E-02
   0.267883      0.385483E-02
   0.284846      0.353764E-02
   0.301944      0.323932E-02
   0.319163      0.295810E-02
   0.336491      0.269222E-02
   0.353915      0.244036E-02
   0.371427      0.220129E-02
   0.389018      0.197411E-02
   0.406682      0.175803E-02
   0.424412      0.155253E-02
   0.442201      0.135719E-02
   0.460045      0.117190E-02
   0.477938      0.996652E-03
   0.495875      0.831680E-03
   0.513853      0.677387E-03
   0.531868      0.534270E-03
   0.549915      0.402915E-03
   0.567990      0.283900E-03
   0.586091      0.177722E-03
   0.604214      0.846618E-04
   0.622355      0.478123E-05
   0.640510     -0.621686E-04
   0.658674     -0.116746E-03
   0.676841     -0.159762E-03
   0.695002     -0.192180E-03
   0.713143     -0.214994E-03
   0.731240     -0.229003E-03
   0.749252     -0.234647E-03
   0.767109     -0.231366E-03
   0.784689     -0.218079E-03
   0.801795     -0.185166E-03
   0.818246     -0.158253E-03
   0.834311     -0.111173E-04
   0.850136      0.149498E-03
   0.865794      0.269654E-03
   0.881309      0.327929E-03
