#      x          Cp  
     1.00000    0.12676
     0.99330    0.11735
     0.98481    0.10343
     0.97554    0.08568
     0.96556    0.06372
     0.95495    0.03754
     0.94385    0.00760
     0.93236   -0.02523
     0.92058   -0.05979
     0.90858   -0.09334
     0.89643   -0.12611
     0.88416   -0.15712
     0.87178   -0.18549
     0.85932   -0.21063
     0.84676   -0.23208
     0.83409   -0.24972
     0.82128   -0.26378
     0.80824   -0.27370
     0.79482   -0.28223
     0.78097   -0.29351
     0.76684   -0.30890
     0.75256   -0.32596
     0.73816   -0.34353
     0.72370   -0.36039
     0.70920   -0.36783
     0.69467   -0.37310
     0.68014   -0.37892
     0.66559   -0.38518
     0.65105   -0.39180
     0.63651   -0.39873
     0.62198   -0.40598
     0.60745   -0.41351
     0.59294   -0.42132
     0.57844   -0.42941
     0.56396   -0.43777
     0.54949   -0.44639
     0.53504   -0.45527
     0.52062   -0.46441
     0.50621   -0.47378
     0.49183   -0.48339
     0.47748   -0.49321
     0.46315   -0.50324
     0.44886   -0.51346
     0.43460   -0.52385
     0.42037   -0.53440
     0.40619   -0.54509
     0.39205   -0.55590
     0.37795   -0.56681
     0.36390   -0.57780
     0.34991   -0.58885
     0.33598   -0.59992
     0.32210   -0.61100
     0.30830   -0.62206
     0.29457   -0.63307
     0.28092   -0.64399
     0.26736   -0.65480
     0.25390   -0.66545
     0.24056   -0.67591
     0.22733   -0.68612
     0.21425   -0.69604
     0.20133   -0.70561
     0.18859   -0.71476
     0.17607   -0.72342
     0.16380   -0.73150
     0.15183   -0.73891
     0.14020   -0.74553
     0.12897   -0.75126
     0.11821   -0.75597
     0.10798   -0.75953
     0.09832   -0.76180
     0.08929   -0.76268
     0.08090   -0.76205
     0.07317   -0.75981
     0.06608   -0.75585
     0.05961   -0.75008
     0.05371   -0.74239
     0.04834   -0.73265
     0.04345   -0.72070
     0.03899   -0.70632
     0.03492   -0.68929
     0.03120   -0.66932
     0.02780   -0.64607
     0.02468   -0.61912
     0.02182   -0.58801
     0.01919   -0.55218
     0.01677   -0.51104
     0.01455   -0.46389
     0.01252   -0.40998
     0.01066   -0.34854
     0.00896   -0.27882
     0.00742   -0.20017
     0.00603   -0.11215
     0.00478   -0.01468
     0.00369    0.09170
     0.00274    0.20565
     0.00193    0.32486
     0.00127    0.44593
     0.00075    0.56450
     0.00037    0.67571
     0.00013    0.77483
     0.00001    0.85759
     0.00002    0.92239
     0.00015    0.96887
     0.00042    0.99478
     0.00083    0.99894
     0.00138    0.98168
     0.00209    0.94537
     0.00294    0.89341
     0.00395    0.83014
     0.00511    0.75961
     0.00643    0.68553
     0.00789    0.61073
     0.00951    0.53734
     0.01128    0.46677
     0.01322    0.39988
     0.01533    0.33711
     0.01762    0.27863
     0.02010    0.22441
     0.02278    0.17432
     0.02570    0.12814
     0.02886    0.08562
     0.03230    0.04653
     0.03604    0.01063
     0.04012   -0.02229
     0.04458   -0.05241
     0.04946   -0.07990
     0.05480   -0.10487
     0.06067   -0.12741
     0.06711   -0.14759
     0.07416   -0.16544
     0.08186   -0.18099
     0.09024   -0.19425
     0.09929   -0.20525
     0.10901   -0.21406
     0.11935   -0.22074
     0.13025   -0.22543
     0.14166   -0.22828
     0.15351   -0.22945
     0.16573   -0.22911
     0.17828   -0.22744
     0.19109   -0.22461
     0.20412   -0.22075
     0.21735   -0.21600
     0.23075   -0.21046
     0.24429   -0.20425
     0.25796   -0.19744
     0.27173   -0.19011
     0.28561   -0.18231
     0.29957   -0.17410
     0.31362   -0.16552
     0.32773   -0.15662
     0.34192   -0.14742
     0.35616   -0.13795
     0.37046   -0.12826
     0.38481   -0.11837
     0.39922   -0.10832
     0.41366   -0.09818
     0.42815   -0.08799
     0.44267   -0.07787
     0.45723   -0.06790
     0.47182   -0.05822
     0.48645   -0.04895
     0.50110   -0.04024
     0.51578   -0.03216
     0.53048   -0.02475
     0.54521   -0.01796
     0.55995   -0.01173
     0.57472   -0.00614
     0.58950   -0.00120
     0.60430    0.00311
     0.61911    0.00685
     0.63394    0.01008
     0.64877    0.01286
     0.66361    0.01524
     0.67845    0.01730
     0.69329    0.01906
     0.70812    0.02057
     0.72293    0.02186
     0.73770    0.02298
     0.75240    0.02394
     0.76699    0.02476
     0.78141    0.02548
     0.79553    0.02607
     0.80929    0.02663
     0.82281    0.02728
     0.83619    0.02801
     0.84947    0.02884
     0.86269    0.02976
     0.87585    0.03079
     0.88893    0.03193
     0.90192    0.03318
     0.91477    0.03455
     0.92742    0.03605
     0.93978    0.03768
     0.95173    0.03942
     0.96314    0.04129
     0.97387    0.04325
     0.98380    0.07043
     0.99286    0.10170
     1.00000    0.12676
