#      x          Cp  
     1.00000    0.11236
     0.99330    0.10415
     0.98481    0.09203
     0.97554    0.07648
     0.96556    0.05707
     0.95495    0.03365
     0.94385    0.00648
     0.93236   -0.02379
     0.92058   -0.05618
     0.90858   -0.08813
     0.89643   -0.11984
     0.88416   -0.15036
     0.87178   -0.17883
     0.85932   -0.20469
     0.84676   -0.22759
     0.83409   -0.24753
     0.82128   -0.26487
     0.80824   -0.27948
     0.79482   -0.29350
     0.78097   -0.30936
     0.76684   -0.32702
     0.75256   -0.34428
     0.73816   -0.35082
     0.72370   -0.35590
     0.70920   -0.36150
     0.69467   -0.36748
     0.68014   -0.37380
     0.66559   -0.38041
     0.65105   -0.38730
     0.63651   -0.39447
     0.62198   -0.40190
     0.60745   -0.40961
     0.59294   -0.41758
     0.57844   -0.42582
     0.56396   -0.43433
     0.54949   -0.44311
     0.53504   -0.45214
     0.52062   -0.46143
     0.50621   -0.47095
     0.49183   -0.48071
     0.47748   -0.49068
     0.46315   -0.50086
     0.44886   -0.51123
     0.43460   -0.52177
     0.42037   -0.53247
     0.40619   -0.54330
     0.39205   -0.55425
     0.37795   -0.56529
     0.36390   -0.57641
     0.34991   -0.58759
     0.33598   -0.59879
     0.32210   -0.61000
     0.30830   -0.62118
     0.29457   -0.63231
     0.28092   -0.64336
     0.26736   -0.65428
     0.25390   -0.66506
     0.24056   -0.67563
     0.22733   -0.68597
     0.21425   -0.69601
     0.20133   -0.70570
     0.18859   -0.71497
     0.17607   -0.72376
     0.16380   -0.73197
     0.15183   -0.73951
     0.14020   -0.74628
     0.12897   -0.75215
     0.11821   -0.75700
     0.10798   -0.76071
     0.09832   -0.76314
     0.08929   -0.76417
     0.08090   -0.76370
     0.07317   -0.76162
     0.06608   -0.75783
     0.05961   -0.75222
     0.05371   -0.74470
     0.04834   -0.73512
     0.04345   -0.72333
     0.03899   -0.70912
     0.03492   -0.69226
     0.03120   -0.67245
     0.02780   -0.64936
     0.02468   -0.62258
     0.02182   -0.59163
     0.01919   -0.55596
     0.01677   -0.51497
     0.01455   -0.46796
     0.01252   -0.41419
     0.01066   -0.35287
     0.00896   -0.28324
     0.00742   -0.20466
     0.00603   -0.11668
     0.00478   -0.01921
     0.00369    0.08723
     0.00274    0.20131
     0.00193    0.32071
     0.00127    0.44206
     0.00075    0.56097
     0.00037    0.67260
     0.00013    0.77220
     0.00001    0.85548
     0.00002    0.92082
     0.00015    0.96787
     0.00042    0.99437
     0.00083    0.99911
     0.00138    0.98241
     0.00209    0.94660
     0.00294    0.89508
     0.00395    0.83218
     0.00511    0.76195
     0.00643    0.68810
     0.00789    0.61347
     0.00951    0.54019
     0.01128    0.46968
     0.01322    0.40283
     0.01533    0.34007
     0.01762    0.28156
     0.02010    0.22731
     0.02278    0.17716
     0.02570    0.13091
     0.02886    0.08831
     0.03230    0.04913
     0.03604    0.01313
     0.04012   -0.01988
     0.04458   -0.05011
     0.04946   -0.07770
     0.05480   -0.10278
     0.06067   -0.12544
     0.06711   -0.14573
     0.07416   -0.16369
     0.08186   -0.17936
     0.09024   -0.19274
     0.09929   -0.20386
     0.10901   -0.21278
     0.11935   -0.21957
     0.13025   -0.22438
     0.14166   -0.22733
     0.15351   -0.22860
     0.16573   -0.22837
     0.17828   -0.22679
     0.19109   -0.22405
     0.20412   -0.22028
     0.21735   -0.21562
     0.23075   -0.21017
     0.24429   -0.20405
     0.25796   -0.19732
     0.27173   -0.19007
     0.28561   -0.18236
     0.29957   -0.17423
     0.31362   -0.16574
     0.32773   -0.15691
     0.34192   -0.14780
     0.35616   -0.13842
     0.37046   -0.12881
     0.38481   -0.11900
     0.39922   -0.10903
     0.41366   -0.09895
     0.42815   -0.08883
     0.44267   -0.07874
     0.45723   -0.06880
     0.47182   -0.05911
     0.48645   -0.04982
     0.50110   -0.04104
     0.51578   -0.03289
     0.53048   -0.02539
     0.54521   -0.01853
     0.55995   -0.01222
     0.57472   -0.00652
     0.58950   -0.00148
     0.60430    0.00294
     0.61911    0.00678
     0.63394    0.01010
     0.64877    0.01295
     0.66361    0.01541
     0.67845    0.01752
     0.69329    0.01934
     0.70812    0.02089
     0.72293    0.02223
     0.73770    0.02338
     0.75240    0.02437
     0.76699    0.02521
     0.78141    0.02595
     0.79553    0.02656
     0.80929    0.02714
     0.82281    0.02779
     0.83619    0.02853
     0.84947    0.02937
     0.86269    0.03030
     0.87585    0.03133
     0.88893    0.03248
     0.90192    0.03373
     0.91477    0.03511
     0.92742    0.03661
     0.93978    0.03823
     0.95173    0.03997
     0.96314    0.04182
     0.97387    0.04375
     0.98380    0.05657
     0.99286    0.08757
     1.00000    0.11236
