#      x          Cp  
     1.00000    0.10536
     0.99330    0.09764
     0.98481    0.08629
     0.97554    0.07171
     0.96556    0.05346
     0.95495    0.03131
     0.94385    0.00546
     0.93236   -0.02355
     0.92058   -0.05485
     0.90858   -0.08609
     0.89643   -0.11727
     0.88416   -0.14755
     0.87178   -0.17611
     0.85932   -0.20238
     0.84676   -0.22605
     0.83409   -0.24711
     0.82128   -0.26587
     0.80824   -0.28227
     0.79482   -0.29807
     0.78097   -0.31506
     0.76684   -0.33285
     0.75256   -0.34321
     0.73816   -0.34805
     0.72370   -0.35345
     0.70920   -0.35926
     0.69467   -0.36538
     0.68014   -0.37180
     0.66559   -0.37849
     0.65105   -0.38544
     0.63651   -0.39266
     0.62198   -0.40014
     0.60745   -0.40789
     0.59294   -0.41591
     0.57844   -0.42421
     0.56396   -0.43277
     0.54949   -0.44160
     0.53504   -0.45069
     0.52062   -0.46004
     0.50621   -0.46963
     0.49183   -0.47945
     0.47748   -0.48950
     0.46315   -0.49974
     0.44886   -0.51018
     0.43460   -0.52080
     0.42037   -0.53157
     0.40619   -0.54247
     0.39205   -0.55349
     0.37795   -0.56461
     0.36390   -0.57580
     0.34991   -0.58705
     0.33598   -0.59832
     0.32210   -0.60960
     0.30830   -0.62085
     0.29457   -0.63206
     0.28092   -0.64317
     0.26736   -0.65417
     0.25390   -0.66501
     0.24056   -0.67566
     0.22733   -0.68607
     0.21425   -0.69619
     0.20133   -0.70596
     0.18859   -0.71531
     0.17607   -0.72418
     0.16380   -0.73248
     0.15183   -0.74011
     0.14020   -0.74696
     0.12897   -0.75293
     0.11821   -0.75788
     0.10798   -0.76169
     0.09832   -0.76422
     0.08929   -0.76536
     0.08090   -0.76499
     0.07317   -0.76303
     0.06608   -0.75935
     0.05961   -0.75385
     0.05371   -0.74644
     0.04834   -0.73698
     0.04345   -0.72530
     0.03899   -0.71121
     0.03492   -0.69446
     0.03120   -0.67477
     0.02780   -0.65179
     0.02468   -0.62513
     0.02182   -0.59428
     0.01919   -0.55873
     0.01677   -0.51784
     0.01455   -0.47093
     0.01252   -0.41725
     0.01066   -0.35601
     0.00896   -0.28645
     0.00742   -0.20792
     0.00603   -0.11996
     0.00478   -0.02248
     0.00369    0.08401
     0.00274    0.19818
     0.00193    0.31772
     0.00127    0.43927
     0.00075    0.55844
     0.00037    0.67037
     0.00013    0.77031
     0.00001    0.85396
     0.00002    0.91969
     0.00015    0.96715
     0.00042    0.99406
     0.00083    0.99923
     0.00138    0.98292
     0.00209    0.94746
     0.00294    0.89626
     0.00395    0.83363
     0.00511    0.76361
     0.00643    0.68991
     0.00789    0.61540
     0.00951    0.54221
     0.01128    0.47175
     0.01322    0.40492
     0.01533    0.34216
     0.01762    0.28364
     0.02010    0.22935
     0.02278    0.17916
     0.02570    0.13286
     0.02886    0.09021
     0.03230    0.05097
     0.03604    0.01491
     0.04012   -0.01818
     0.04458   -0.04847
     0.04946   -0.07614
     0.05480   -0.10130
     0.06067   -0.12404
     0.06711   -0.14441
     0.07416   -0.16246
     0.08186   -0.17820
     0.09024   -0.19166
     0.09929   -0.20287
     0.10901   -0.21186
     0.11935   -0.21874
     0.13025   -0.22362
     0.14166   -0.22665
     0.15351   -0.22799
     0.16573   -0.22783
     0.17828   -0.22632
     0.19109   -0.22365
     0.20412   -0.21994
     0.21735   -0.21534
     0.23075   -0.20996
     0.24429   -0.20389
     0.25796   -0.19722
     0.27173   -0.19003
     0.28561   -0.18238
     0.29957   -0.17431
     0.31362   -0.16587
     0.32773   -0.15711
     0.34192   -0.14805
     0.35616   -0.13873
     0.37046   -0.12918
     0.38481   -0.11943
     0.39922   -0.10952
     0.41366   -0.09949
     0.42815   -0.08941
     0.44267   -0.07936
     0.45723   -0.06944
     0.47182   -0.05976
     0.48645   -0.05044
     0.50110   -0.04163
     0.51578   -0.03342
     0.53048   -0.02586
     0.54521   -0.01894
     0.55995   -0.01257
     0.57472   -0.00680
     0.58950   -0.00168
     0.60430    0.00281
     0.61911    0.00672
     0.63394    0.01011
     0.64877    0.01303
     0.66361    0.01554
     0.67845    0.01770
     0.69329    0.01956
     0.70812    0.02115
     0.72293    0.02252
     0.73770    0.02369
     0.75240    0.02470
     0.76699    0.02557
     0.78141    0.02632
     0.79553    0.02695
     0.80929    0.02753
     0.82281    0.02819
     0.83619    0.02894
     0.84947    0.02979
     0.86269    0.03073
     0.87585    0.03177
     0.88893    0.03292
     0.90192    0.03418
     0.91477    0.03557
     0.92742    0.03707
     0.93978    0.03870
     0.95173    0.04043
     0.96314    0.04228
     0.97387    0.04420
     0.98380    0.04767
     0.99286    0.07982
     1.00000    0.10536
