#  NACA 2814                                       
#  alpha =   1.5961
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.736385E-02
   0.517258E-04  0.151071E-01
   0.652751E-05  0.220928E-01
   0.154102E-03  0.286685E-01
   0.509248E-03  0.339963E-01
   0.108182E-02  0.379182E-01
   0.187894E-02  0.401963E-01
   0.290336E-02  0.409975E-01
   0.415660E-02  0.405907E-01
   0.564014E-02  0.393091E-01
   0.735722E-02  0.374601E-01
   0.931400E-02  0.352951E-01
   0.115205E-01  0.329910E-01
   0.139914E-01  0.306720E-01
   0.167467E-01  0.284137E-01
   0.198125E-01  0.262587E-01
   0.232220E-01  0.242320E-01
   0.270161E-01  0.223376E-01
   0.312450E-01  0.205779E-01
   0.359687E-01  0.189461E-01
   0.412578E-01  0.174353E-01
   0.471933E-01  0.160357E-01
   0.538643E-01  0.147407E-01
   0.613632E-01  0.135420E-01
   0.697769E-01  0.124341E-01
   0.791741E-01  0.114118E-01
   0.895906E-01  0.104721E-01
   0.101018      0.961075E-02
   0.113400      0.882414E-02
   0.126644      0.810794E-02
   0.140632      0.745663E-02
   0.155247      0.686368E-02
   0.170377      0.632282E-02
   0.185930      0.582776E-02
   0.201829      0.537299E-02
   0.218015      0.495349E-02
   0.234442      0.456487E-02
   0.251074      0.420327E-02
   0.267883      0.386579E-02
   0.284846      0.354964E-02
   0.301944      0.325251E-02
   0.319163      0.297266E-02
   0.336491      0.270834E-02
   0.353915      0.245824E-02
   0.371427      0.222117E-02
   0.389018      0.199624E-02
   0.406682      0.178266E-02
   0.424412      0.157991E-02
   0.442201      0.138755E-02
   0.460045      0.120545E-02
   0.477938      0.103353E-02
   0.495875      0.871956E-03
   0.513853      0.721022E-03
   0.531868      0.581102E-03
   0.549915      0.452653E-03
   0.567990      0.336124E-03
   0.586091      0.231904E-03
   0.604214      0.140206E-03
   0.622355      0.610870E-04
   0.640510     -0.563352E-05
   0.658674     -0.603635E-04
   0.676841     -0.103675E-03
   0.695002     -0.136202E-03
   0.713143     -0.158513E-03
   0.731240     -0.170829E-03
   0.749252     -0.172779E-03
   0.767109     -0.162458E-03
   0.784689     -0.136742E-03
   0.801795     -0.793264E-04
   0.818246      0.519432E-04
   0.834311      0.249096E-03
   0.850136      0.413847E-03
   0.865794      0.512869E-03
   0.881309      0.535245E-03
   0.896674      0.489747E-03
   0.911847      0.398418E-03
   0.926754      0.288998E-03
   0.941269      0.177526E-03
   0.955217      0.799609E-04
   0.968380      0.460681E-05
   0.980531     -0.498749E-04
   0.991499     -0.813462E-04
    1.00000     -0.946884E-04
    1.00010       0.00000    
    1.00899       0.00000    
    1.01913       0.00000    
    1.03065       0.00000    
    1.04373       0.00000    
    1.05856       0.00000    
    1.07540       0.00000    
    1.09450       0.00000    
    1.11616       0.00000    
    1.14074       0.00000    
    1.16860       0.00000    
    1.20020       0.00000    
    1.23603       0.00000    
    1.27666       0.00000    
    1.32272       0.00000    
    1.37496       0.00000    
    1.43417       0.00000    
    1.50131       0.00000    
    1.57743       0.00000    
    1.66372       0.00000    
    1.76155       0.00000    
    1.87245       0.00000    
    1.99817       0.00000    

   0.766382E-03  0.362199E-03
   0.146544E-02  0.759521E-02
   0.240290E-02  0.137359E-01
   0.358061E-02  0.185252E-01
   0.499817E-02  0.218522E-01
   0.665500E-02  0.239280E-01
   0.855236E-02  0.249564E-01
   0.106948E-01  0.252075E-01
   0.130911E-01  0.248981E-01
   0.157552E-01  0.242098E-01
   0.187069E-01  0.232765E-01
   0.219723E-01  0.221928E-01
   0.255849E-01  0.210278E-01
   0.295867E-01  0.198270E-01
   0.340288E-01  0.186187E-01
   0.389730E-01  0.174259E-01
   0.444923E-01  0.162585E-01
   0.506707E-01  0.151253E-01
   0.576015E-01  0.140319E-01
   0.653819E-01  0.129826E-01
   0.741045E-01  0.119811E-01
   0.838430E-01  0.110310E-01
   0.946370E-01  0.101368E-01
   0.106478      0.930203E-02
   0.119308      0.852929E-02
   0.133025      0.781848E-02
   0.147504      0.716843E-02
   0.162617      0.657510E-02
   0.178248      0.603353E-02
