#      x          Cp  
     1.00000    0.07007
     0.99330    0.06409
     0.98481    0.05618
     0.97554    0.04590
     0.96556    0.03184
     0.95495    0.01460
     0.94385   -0.00593
     0.93236   -0.02958
     0.92058   -0.05592
     0.90858   -0.08399
     0.89643   -0.11267
     0.88416   -0.14187
     0.87178   -0.17099
     0.85932   -0.19954
     0.84676   -0.22716
     0.83409   -0.25361
     0.82128   -0.27873
     0.80824   -0.30222
     0.79482   -0.31755
     0.78097   -0.32229
     0.76684   -0.32744
     0.75256   -0.33284
     0.73816   -0.33846
     0.72370   -0.34427
     0.70920   -0.35029
     0.69467   -0.35652
     0.68014   -0.36298
     0.66559   -0.36968
     0.65105   -0.37663
     0.63651   -0.38385
     0.62198   -0.39136
     0.60745   -0.39916
     0.59294   -0.40726
     0.57844   -0.41567
     0.56396   -0.42438
     0.54949   -0.43340
     0.53504   -0.44272
     0.52062   -0.45232
     0.50621   -0.46219
     0.49183   -0.47232
     0.47748   -0.48269
     0.46315   -0.49328
     0.44886   -0.50407
     0.43460   -0.51503
     0.42037   -0.52616
     0.40619   -0.53742
     0.39205   -0.54880
     0.37795   -0.56027
     0.36390   -0.57182
     0.34991   -0.58341
     0.33598   -0.59502
     0.32210   -0.60663
     0.30830   -0.61821
     0.29457   -0.62974
     0.28092   -0.64118
     0.26736   -0.65250
     0.25390   -0.66366
     0.24056   -0.67463
     0.22733   -0.68536
     0.21425   -0.69580
     0.20133   -0.70590
     0.18859   -0.71559
     0.17607   -0.72480
     0.16380   -0.73345
     0.15183   -0.74144
     0.14020   -0.74866
     0.12897   -0.75501
     0.11821   -0.76035
     0.10798   -0.76456
     0.09832   -0.76750
     0.08929   -0.76906
     0.08090   -0.76912
     0.07317   -0.76758
     0.06608   -0.76433
     0.05961   -0.75928
     0.05371   -0.75230
     0.04834   -0.74328
     0.04345   -0.73205
     0.03899   -0.71839
     0.03492   -0.70208
     0.03120   -0.68283
     0.02780   -0.66030
     0.02468   -0.63407
     0.02182   -0.60366
     0.01919   -0.56852
     0.01677   -0.52805
     0.01455   -0.48153
     0.01252   -0.42821
     0.01066   -0.36730
     0.00896   -0.29801
     0.00742   -0.21968
     0.00603   -0.13184
     0.00478   -0.03436
     0.00369    0.07227
     0.00274    0.18675
     0.00193    0.30679
     0.00127    0.42903
     0.00075    0.54911
     0.00037    0.66213
     0.00013    0.76332
     0.00001    0.84831
     0.00002    0.91547
     0.00015    0.96442
     0.00042    0.99288
     0.00083    0.99958
     0.00138    0.98473
     0.00209    0.95061
     0.00294    0.90059
     0.00395    0.83893
     0.00511    0.76971
     0.00643    0.69664
     0.00789    0.62258
     0.00951    0.54970
     0.01128    0.47944
     0.01322    0.41271
     0.01533    0.34996
     0.01762    0.29140
     0.02010    0.23702
     0.02278    0.18669
     0.02570    0.14022
     0.02886    0.09736
     0.03230    0.05790
     0.03604    0.02160
     0.04012   -0.01174
     0.04458   -0.04230
     0.04946   -0.07025
     0.05480   -0.09569
     0.06067   -0.11871
     0.06711   -0.13938
     0.07416   -0.15773
     0.08186   -0.17378
     0.09024   -0.18754
     0.09929   -0.19905
     0.10901   -0.20834
     0.11935   -0.21551
     0.13025   -0.22068
     0.14166   -0.22398
     0.15351   -0.22560
     0.16573   -0.22569
     0.17828   -0.22444
     0.19109   -0.22200
     0.20412   -0.21853
     0.21735   -0.21416
     0.23075   -0.20899
     0.24429   -0.20314
     0.25796   -0.19669
     0.27173   -0.18971
     0.28561   -0.18226
     0.29957   -0.17440
     0.31362   -0.16618
     0.32773   -0.15762
     0.34192   -0.14877
     0.35616   -0.13966
     0.37046   -0.13032
     0.38481   -0.12077
     0.39922   -0.11105
     0.41366   -0.10120
     0.42815   -0.09128
     0.44267   -0.08136
     0.45723   -0.07151
     0.47182   -0.06185
     0.48645   -0.05249
     0.50110   -0.04356
     0.51578   -0.03518
     0.53048   -0.02742
     0.54521   -0.02030
     0.55995   -0.01376
     0.57472   -0.00775
     0.58950   -0.00237
     0.60430    0.00238
     0.61911    0.00654
     0.63394    0.01016
     0.64877    0.01328
     0.66361    0.01598
     0.67845    0.01830
     0.69329    0.02029
     0.70812    0.02200
     0.72293    0.02347
     0.73770    0.02473
     0.75240    0.02582
     0.76699    0.02675
     0.78141    0.02755
     0.79553    0.02821
     0.80929    0.02883
     0.82281    0.02952
     0.83619    0.03030
     0.84947    0.03116
     0.86269    0.03212
     0.87585    0.03318
     0.88893    0.03435
     0.90192    0.03563
     0.91477    0.03702
     0.92742    0.03852
     0.93978    0.04014
     0.95173    0.04187
     0.96314    0.04368
     0.97387    0.04555
     0.98380    0.04746
     0.99286    0.04935
     1.00000    0.07007
