#  NACA 2814                                       
#  alpha =   1.4059
#  Mach  =   0.0000
#  Reyn  =   110000
#  Ncrit =  12.0000
#
#    x           cf
   0.299078E-03  0.651111E-02
   0.517258E-04  0.142551E-01
   0.652751E-05  0.212604E-01
   0.154102E-03  0.278790E-01
   0.509248E-03  0.332685E-01
   0.108182E-02  0.372768E-01
   0.187894E-02  0.396479E-01
   0.290336E-02  0.405460E-01
   0.415660E-02  0.402312E-01
   0.564014E-02  0.390328E-01
   0.735722E-02  0.372565E-01
   0.931400E-02  0.351530E-01
   0.115205E-01  0.329001E-01
   0.139914E-01  0.306232E-01
   0.167467E-01  0.283990E-01
   0.198125E-01  0.262715E-01
   0.232220E-01  0.242669E-01
   0.270161E-01  0.223900E-01
   0.312450E-01  0.206441E-01
   0.359687E-01  0.190230E-01
   0.412578E-01  0.175206E-01
   0.471933E-01  0.161273E-01
   0.538643E-01  0.148372E-01
   0.613632E-01  0.136420E-01
   0.697769E-01  0.125367E-01
   0.791741E-01  0.115163E-01
   0.895906E-01  0.105781E-01
   0.101018      0.971791E-02
   0.113400      0.893249E-02
   0.126644      0.821760E-02
   0.140632      0.756784E-02
   0.155247      0.697678E-02
   0.170377      0.643825E-02
   0.185930      0.594601E-02
   0.201829      0.549463E-02
   0.218015      0.507915E-02
   0.234442      0.469525E-02
   0.251074      0.433916E-02
   0.267883      0.400806E-02
   0.284846      0.369926E-02
   0.301944      0.341057E-02
   0.319163      0.314034E-02
   0.336491      0.288695E-02
   0.353915      0.264922E-02
   0.371427      0.242606E-02
   0.389018      0.221667E-02
   0.406682      0.202035E-02
   0.424412      0.183659E-02
   0.442201      0.166495E-02
   0.460045      0.150522E-02
   0.477938      0.135720E-02
   0.495875      0.122084E-02
   0.513853      0.109620E-02
   0.531868      0.983409E-03
   0.549915      0.882689E-03
   0.567990      0.794391E-03
   0.586091      0.719025E-03
   0.604214      0.657269E-03
   0.622355      0.610209E-03
   0.640510      0.579510E-03
   0.658674      0.567880E-03
   0.676841      0.580058E-03
   0.695002      0.625262E-03
   0.713143      0.745752E-03
   0.731240      0.109366E-02
   0.749252      0.156810E-02
   0.767109      0.214037E-02
   0.784689      0.276494E-02
   0.801795      0.345486E-02
   0.818246      0.397196E-02
   0.834311      0.417270E-02
   0.850136      0.413935E-02
   0.865794      0.391588E-02
