#      x          Cp  
     1.00000    0.05235
     0.99330    0.04495
     0.98481    0.03515
     0.97554    0.02370
     0.96556    0.01027
     0.95495   -0.00564
     0.94385   -0.02490
     0.93236   -0.04780
     0.92058   -0.07367
     0.90858   -0.10230
     0.89643   -0.13328
     0.88416   -0.16656
     0.87178   -0.20235
     0.85932   -0.24124
     0.84676   -0.28078
     0.83409   -0.30221
     0.82128   -0.30596
     0.80824   -0.30994
     0.79482   -0.31415
     0.78097   -0.31858
     0.76684   -0.32317
     0.75256   -0.32793
     0.73816   -0.33289
     0.72370   -0.33806
     0.70920   -0.34346
     0.69467   -0.34911
     0.68014   -0.35503
     0.66559   -0.36123
     0.65105   -0.36770
     0.63651   -0.37448
     0.62198   -0.38159
     0.60745   -0.38905
     0.59294   -0.39689
     0.57844   -0.40511
     0.56396   -0.41373
     0.54949   -0.42274
     0.53504   -0.43213
     0.52062   -0.44188
     0.50621   -0.45197
     0.49183   -0.46238
     0.47748   -0.47307
     0.46315   -0.48401
     0.44886   -0.49518
     0.43460   -0.50654
     0.42037   -0.51806
     0.40619   -0.52971
     0.39205   -0.54148
     0.37795   -0.55333
     0.36390   -0.56523
     0.34991   -0.57717
     0.33598   -0.58912
     0.32210   -0.60104
     0.30830   -0.61293
     0.29457   -0.62474
     0.28092   -0.63645
     0.26736   -0.64803
     0.25390   -0.65944
     0.24056   -0.67065
     0.22733   -0.68161
     0.21425   -0.69226
     0.20133   -0.70257
     0.18859   -0.71246
     0.17607   -0.72187
     0.16380   -0.73070
     0.15183   -0.73888
     0.14020   -0.74628
     0.12897   -0.75280
     0.11821   -0.75832
     0.10798   -0.76269
     0.09832   -0.76580
     0.08929   -0.76751
     0.08090   -0.76773
     0.07317   -0.76634
     0.06608   -0.76324
     0.05961   -0.75833
     0.05371   -0.75150
     0.04834   -0.74261
     0.04345   -0.73151
     0.03899   -0.71799
     0.03492   -0.70181
     0.03120   -0.68269
     0.02780   -0.66028
     0.02468   -0.63418
     0.02182   -0.60390
     0.01919   -0.56889
     0.01677   -0.52854
     0.01455   -0.48215
     0.01252   -0.42895
     0.01066   -0.36815
     0.00896   -0.29898
     0.00742   -0.22076
     0.00603   -0.13301
     0.00478   -0.03560
     0.00369    0.07097
     0.00274    0.18541
     0.00193    0.30545
     0.00127    0.42773
     0.00075    0.54787
     0.00037    0.66099
     0.00013    0.76233
     0.00001    0.84749
     0.00002    0.91483
     0.00015    0.96400
     0.00042    0.99268
     0.00083    0.99962
     0.00138    0.98502
     0.00209    0.95112
     0.00294    0.90129
     0.00395    0.83981
     0.00511    0.77074
     0.00643    0.69778
     0.00789    0.62382
     0.00951    0.55100
     0.01128    0.48079
     0.01322    0.41408
     0.01533    0.35135
     0.01762    0.29279
     0.02010    0.23839
     0.02278    0.18804
     0.02570    0.14153
     0.02886    0.09864
     0.03230    0.05914
     0.03604    0.02279
     0.04012   -0.01060
     0.04458   -0.04122
     0.04946   -0.06922
     0.05480   -0.09473
     0.06067   -0.11782
     0.06711   -0.13856
     0.07416   -0.15698
     0.08186   -0.17310
     0.09024   -0.18694
     0.09929   -0.19853
     0.10901   -0.20790
     0.11935   -0.21515
     0.13025   -0.22039
     0.14166   -0.22378
     0.15351   -0.22547
     0.16573   -0.22564
     0.17828   -0.22447
     0.19109   -0.22211
     0.20412   -0.21872
     0.21735   -0.21442
     0.23075   -0.20934
     0.24429   -0.20357
     0.25796   -0.19719
     0.27173   -0.19029
     0.28561   -0.18292
     0.29957   -0.17515
     0.31362   -0.16700
     0.32773   -0.15853
     0.34192   -0.14977
     0.35616   -0.14075
     0.37046   -0.13149
     0.38481   -0.12203
     0.39922   -0.11240
     0.41366   -0.10264
     0.42815   -0.09280
     0.44267   -0.08294
     0.45723   -0.07314
     0.47182   -0.06350
     0.48645   -0.05413
     0.50110   -0.04516
     0.51578   -0.03670
     0.53048   -0.02885
     0.54521   -0.02162
     0.55995   -0.01499
     0.57472   -0.00888
     0.58950   -0.00337
     0.60430    0.00152
     0.61911    0.00581
     0.63394    0.00954
     0.64877    0.01278
     0.66361    0.01558
     0.67845    0.01799
     0.69329    0.02006
     0.70812    0.02184
     0.72293    0.02337
     0.73770    0.02469
     0.75240    0.02582
     0.76699    0.02678
     0.78141    0.02762
     0.79553    0.02831
     0.80929    0.02895
     0.82281    0.02967
     0.83619    0.03046
     0.84947    0.03134
     0.86269    0.03232
     0.87585    0.03340
     0.88893    0.03458
     0.90192    0.03587
     0.91477    0.03728
     0.92742    0.03880
     0.93978    0.04043
     0.95173    0.04216
     0.96314    0.04397
     0.97387    0.04584
     0.98380    0.04774
     0.99286    0.04960
     1.00000    0.05235
