#      x          Cp  
     1.00000    0.06392
     0.99330    0.05760
     0.98481    0.04933
     0.97554    0.03953
     0.96556    0.02646
     0.95495    0.00979
     0.94385   -0.01005
     0.93236   -0.03294
     0.92058   -0.05855
     0.90858   -0.08622
     0.89643   -0.11468
     0.88416   -0.14401
     0.87178   -0.17371
     0.85932   -0.20333
     0.84676   -0.23252
     0.83409   -0.26095
     0.82128   -0.28826
     0.80824   -0.31113
     0.79482   -0.31574
     0.78097   -0.32067
     0.76684   -0.32584
     0.75256   -0.33119
     0.73816   -0.33674
     0.72370   -0.34247
     0.70920   -0.34840
     0.69467   -0.35453
     0.68014   -0.36090
     0.66559   -0.36751
     0.65105   -0.37438
     0.63651   -0.38153
     0.62198   -0.38898
     0.60745   -0.39674
     0.59294   -0.40482
     0.57844   -0.41321
     0.56396   -0.42194
     0.54949   -0.43098
     0.53504   -0.44033
     0.52062   -0.44999
     0.50621   -0.45992
     0.49183   -0.47013
     0.47748   -0.48058
     0.46315   -0.49126
     0.44886   -0.50214
     0.43460   -0.51320
     0.42037   -0.52442
     0.40619   -0.53578
     0.39205   -0.54725
     0.37795   -0.55881
     0.36390   -0.57044
     0.34991   -0.58211
     0.33598   -0.59381
     0.32210   -0.60550
     0.30830   -0.61716
     0.29457   -0.62876
     0.28092   -0.64028
     0.26736   -0.65167
     0.25390   -0.66290
     0.24056   -0.67394
     0.22733   -0.68473
     0.21425   -0.69524
     0.20133   -0.70540
     0.18859   -0.71515
     0.17607   -0.72442
     0.16380   -0.73313
     0.15183   -0.74118
     0.14020   -0.74847
     0.12897   -0.75488
     0.11821   -0.76029
     0.10798   -0.76456
     0.09832   -0.76757
     0.08929   -0.76919
     0.08090   -0.76932
     0.07317   -0.76785
     0.06608   -0.76466
     0.05961   -0.75967
     0.05371   -0.75277
     0.04834   -0.74381
     0.04345   -0.73264
     0.03899   -0.71905
     0.03492   -0.70280
     0.03120   -0.68361
     0.02780   -0.66114
     0.02468   -0.63498
     0.02182   -0.60463
     0.01919   -0.56955
     0.01677   -0.52914
     0.01455   -0.48268
     0.01252   -0.42941
     0.01066   -0.36855
     0.00896   -0.29931
     0.00742   -0.22102
     0.00603   -0.13320
     0.00478   -0.03573
     0.00369    0.07091
     0.00274    0.18541
     0.00193    0.30550
     0.00127    0.42781
     0.00075    0.54799
     0.00037    0.66113
     0.00013    0.76247
     0.00001    0.84762
     0.00002    0.91494
     0.00015    0.96408
     0.00042    0.99272
     0.00083    0.99961
     0.00138    0.98495
     0.00209    0.95100
     0.00294    0.90112
     0.00395    0.83959
     0.00511    0.77047
     0.00643    0.69747
     0.00789    0.62348
     0.00951    0.55064
     0.01128    0.48041
     0.01322    0.41369
     0.01533    0.35095
     0.01762    0.29239
     0.02010    0.23799
     0.02278    0.18764
     0.02570    0.14115
     0.02886    0.09827
     0.03230    0.05878
     0.03604    0.02245
     0.04012   -0.01092
     0.04458   -0.04152
     0.04946   -0.06950
     0.05480   -0.09498
     0.06067   -0.11804
     0.06711   -0.13875
     0.07416   -0.15714
     0.08186   -0.17323
     0.09024   -0.18703
     0.09929   -0.19858
     0.10901   -0.20791
     0.11935   -0.21512
     0.13025   -0.22033
     0.14166   -0.22367
     0.15351   -0.22532
     0.16573   -0.22545
     0.17828   -0.22423
     0.19109   -0.22184
     0.20412   -0.21840
     0.21735   -0.21406
     0.23075   -0.20893
     0.24429   -0.20311
     0.25796   -0.19669
     0.27173   -0.18974
     0.28561   -0.18232
     0.29957   -0.17450
     0.31362   -0.16630
     0.32773   -0.15778
     0.34192   -0.14896
     0.35616   -0.13988
     0.37046   -0.13057
     0.38481   -0.12105
     0.39922   -0.11136
     0.41366   -0.10155
     0.42815   -0.09165
     0.44267   -0.08175
     0.45723   -0.07191
     0.47182   -0.06226
     0.48645   -0.05289
     0.50110   -0.04395
     0.51578   -0.03554
     0.53048   -0.02775
     0.54521   -0.02060
     0.55995   -0.01403
     0.57472   -0.00799
     0.58950   -0.00257
     0.60430    0.00223
     0.61911    0.00643
     0.63394    0.01008
     0.64877    0.01324
     0.66361    0.01597
     0.67845    0.01831
     0.69329    0.02033
     0.70812    0.02206
     0.72293    0.02355
     0.73770    0.02483
     0.75240    0.02592
     0.76699    0.02686
     0.78141    0.02767
     0.79553    0.02835
     0.80929    0.02897
     0.82281    0.02967
     0.83619    0.03045
     0.84947    0.03132
     0.86269    0.03228
     0.87585    0.03334
     0.88893    0.03451
     0.90192    0.03579
     0.91477    0.03718
     0.92742    0.03869
     0.93978    0.04031
     0.95173    0.04203
     0.96314    0.04384
     0.97387    0.04570
     0.98380    0.04760
     0.99286    0.04948
     1.00000    0.06392
