#      x          Cp  
     1.00000    0.06352
     0.99330    0.05560
     0.98481    0.04493
     0.97554    0.03230
     0.96556    0.01739
     0.95495   -0.00014
     0.94385   -0.02062
     0.93236   -0.04441
     0.92058   -0.07187
     0.90858   -0.10344
     0.89643   -0.13961
     0.88416   -0.18109
     0.87178   -0.22912
     0.85932   -0.28595
     0.84676   -0.34601
     0.83409   -0.34716
     0.82128   -0.34834
     0.80824   -0.34965
     0.79482   -0.35111
     0.78097   -0.35263
     0.76684   -0.35413
     0.75256   -0.35565
     0.73816   -0.35720
     0.72370   -0.35881
     0.70920   -0.36049
     0.69467   -0.36226
     0.68014   -0.36416
     0.66559   -0.36620
     0.65105   -0.36843
     0.63651   -0.37088
     0.62198   -0.37358
     0.60745   -0.37660
     0.59294   -0.37998
     0.57844   -0.38378
     0.56396   -0.38808
     0.54949   -0.39295
     0.53504   -0.39846
     0.52062   -0.40471
     0.50621   -0.41175
     0.49183   -0.41964
     0.47748   -0.42841
     0.46315   -0.43793
     0.44886   -0.44826
     0.43460   -0.45947
     0.42037   -0.47158
     0.40619   -0.48451
     0.39205   -0.49813
     0.37795   -0.51228
     0.36390   -0.52682
     0.34991   -0.54160
     0.33598   -0.55650
     0.32210   -0.57144
     0.30830   -0.58633
     0.29457   -0.60113
     0.28092   -0.61577
     0.26736   -0.63023
     0.25390   -0.64448
     0.24056   -0.65847
     0.22733   -0.67219
     0.21425   -0.68558
     0.20133   -0.69862
     0.18859   -0.71124
     0.17607   -0.72340
     0.16380   -0.73502
     0.15183   -0.74602
     0.14020   -0.75630
     0.12897   -0.76575
     0.11821   -0.77426
     0.10798   -0.78169
     0.09832   -0.78791
     0.08929   -0.79278
     0.08090   -0.79620
     0.07317   -0.79803
     0.06608   -0.79818
     0.05961   -0.79653
     0.05371   -0.79297
     0.04834   -0.78737
     0.04345   -0.77955
     0.03899   -0.76932
     0.03492   -0.75642
     0.03120   -0.74059
     0.02780   -0.72146
     0.02468   -0.69862
     0.02182   -0.67156
     0.01919   -0.63972
     0.01677   -0.60246
     0.01455   -0.55901
     0.01252   -0.50858
     0.01066   -0.45027
     0.00896   -0.38323
     0.00742   -0.30664
     0.00603   -0.21989
     0.00478   -0.12268
     0.00369   -0.01529
     0.00274    0.10116
     0.00193    0.22456
     0.00127    0.35167
     0.00075    0.47813
     0.00037    0.59893
     0.00013    0.70914
     0.00001    0.80380
     0.00002    0.88139
     0.00015    0.94114
     0.00042    0.98104
     0.00083    0.99894
     0.00138    0.99493
     0.00209    0.97059
     0.00294    0.92937
     0.00395    0.87498
     0.00511    0.81181
     0.00643    0.74335
     0.00789    0.67278
     0.00951    0.60232
     0.01128    0.53361
     0.01322    0.46769
     0.01533    0.40516
     0.01762    0.34633
     0.02010    0.29128
     0.02278    0.23997
     0.02570    0.19226
     0.02886    0.14796
     0.03230    0.10688
     0.03604    0.06883
     0.04012    0.03362
     0.04458    0.00108
     0.04946   -0.02892
     0.05480   -0.05649
     0.06067   -0.08170
     0.06711   -0.10461
     0.07416   -0.12524
     0.08186   -0.14359
     0.09024   -0.15968
     0.09929   -0.17351
     0.10901   -0.18511
     0.11935   -0.19455
     0.13025   -0.20195
     0.14166   -0.20744
     0.15351   -0.21118
     0.16573   -0.21334
     0.17828   -0.21411
     0.19109   -0.21363
     0.20412   -0.21208
     0.21735   -0.20958
     0.23075   -0.20626
     0.24429   -0.20223
     0.25796   -0.19758
     0.27173   -0.19240
     0.28561   -0.18675
     0.29957   -0.18070
     0.31362   -0.17430
     0.32773   -0.16760
     0.34192   -0.16064
     0.35616   -0.15345
     0.37046   -0.14605
     0.38481   -0.13849
     0.39922   -0.13078
     0.41366   -0.12293
     0.42815   -0.11497
     0.44267   -0.10692
     0.45723   -0.09879
     0.47182   -0.09060
     0.48645   -0.08237
     0.50110   -0.07412
     0.51578   -0.06589
     0.53048   -0.05772
     0.54521   -0.04965
     0.55995   -0.04173
     0.57472   -0.03403
     0.58950   -0.02661
     0.60430   -0.01953
     0.61911   -0.01285
     0.63394   -0.00660
     0.64877   -0.00078
     0.66361    0.00464
     0.67845    0.00971
     0.69329    0.01436
     0.70812    0.01858
     0.72293    0.02237
     0.73770    0.02575
     0.75240    0.02874
     0.76699    0.03138
     0.78141    0.03371
     0.79553    0.03571
     0.80929    0.03749
     0.82281    0.03925
     0.83619    0.04102
     0.84947    0.04286
     0.86269    0.04479
     0.87585    0.04682
     0.88893    0.04897
     0.90192    0.05126
     0.91477    0.05369
     0.92742    0.05625
     0.93978    0.05891
     0.95173    0.06162
     0.96314    0.06426
     0.97387    0.06665
     0.98380    0.06860
     0.99286    0.06868
     1.00000    0.06352
